id,question,answerable,answer,evidence,normalized_entities,timeframe,confidence
1,"Which malware families are explicitly described as capable of operating as botnets or conducting DDoS, and what command-and-control protocol or method is mentioned for each?",True,PurpleFox is described as a Windows botnet that can act as a DDoS bot and is noted as switching its command-and-control to WebSocket for stealth. No other malware in CTI_TEXTS is explicitly described as a botnet/DDoS-capable family with a specified C2 protocol.,"[{'source_id': 'CTI_TEXTS', 'page': 7, 'quote': 'PurpleFox ... can also act as a distributed denial of service (DDoS) bot. In October 2021, researchers noticed that new versions of PurpleFox switched to using WebSocket for command and control (C2) communications'}]","{'actors': [], 'malware': ['PurpleFox'], 'cves': [], 'sectors': [], 'regions': [], 'mitre': []}","{'from': '2021-10-01', 'to': None}",high
2,"Which threat actor is linked to an advanced .NET backdoor used as a second-stage payload, and what sensitive asset categories are stated as targets of that backdoor?",True,"Pensive Ursa (aka Turla/Uroburos), linked to the Russian FSB, is associated with the .NET backdoor Kazuar used as a second-stage payload. The text states the actor targeted sensitive assets including Signal messages and data from source control and cloud platforms.","[{'source_id': 'CTI_TEXTS', 'page': 2, 'quote': 'Kazuar is an advanced and stealthy .NET backdoor that Pensive Ursa usually uses as a second stage payload.'}, {'source_id': 'CTI_TEXTS', 'page': 2, 'quote': 'The threat group behind this variant was going after sensitive assets such as those found in Signal messages, source control and cloud platforms data.'}, {'source_id': 'CTI_TEXTS', 'page': 2, 'quote': 'Pensive Ursa is a Russian-based threat group ... linked to the Russian Federal Security Service (FSB).'}]","{'actors': ['Pensive Ursa', 'Turla', 'Uroburos'], 'malware': ['Kazuar'], 'cves': [], 'sectors': [], 'regions': ['Russia'], 'mitre': []}","{'from': '2004-01-01', 'to': None}",high
3,"Which vulnerabilities in CTI_TEXTS are described as enabling account takeover or impersonation, and what product is each vulnerability associated with?",True,CVE-2023-7028 in GitLab is described as a zero-click account takeover via password reset emails redirected to an attacker-controlled address. CVE-2024-23832 in Mastodon is described as allowing attackers to impersonate users and take over remote accounts due to insufficient origin validation.,"[{'source_id': 'CTI_TEXTS', 'page': 1, 'quote': 'Over 5,300 internet-exposed GitLab instances are vulnerable to CVE-2023-7028, a zero-click account takeover flaw'}, {'source_id': 'CTI_TEXTS', 'page': 5, 'quote': 'The newly fixed flaw is tracked as CVE-2024-23832 ... allowing attackers to impersonate users and take over their accounts.'}]","{'actors': [], 'malware': [], 'cves': ['CVE-2023-7028', 'CVE-2024-23832'], 'sectors': [], 'regions': [], 'mitre': []}","{'from': None, 'to': None}",high
4,"Which actor–malware pair is associated with targeting a defense sector, and what country is that defense sector located in?",True,"Pensive Ursa is associated with the Kazuar backdoor, and this variant was reported as targeting the Ukrainian defense sector.","[{'source_id': 'CTI_TEXTS', 'page': 2, 'quote': 'The Ukrainian CERT reported in July 2023 that this version of Kazuar was targeting the Ukrainian defense sector.'}]","{'actors': ['Pensive Ursa'], 'malware': ['Kazuar'], 'cves': [], 'sectors': ['Defense'], 'regions': ['Ukraine'], 'mitre': []}","{'from': '2023-07-01', 'to': None}",high
5,"Which malware is described as both an information stealer and a backdoor, and what credential-related data types is it reported to harvest from browsers?",True,"Jupyter (aka Yellow Cockatoo/Solarmarker/Polazert) is described as an information stealer and is also reported as capable of functioning as a full-fledged backdoor. It is reported to harvest credential-related browser data including cookies, Web data, and browser password manager information.","[{'source_id': 'CTI_TEXTS', 'page': 4, 'quote': 'a sophisticated new variant of Jupyter, an information stealer'}, {'source_id': 'CTI_TEXTS', 'page': 4, 'quote': 'can backdoor machines and harvest ... cookies, Web data, browser password manager information'}, {'source_id': 'CTI_TEXTS', 'page': 4, 'quote': 'Morphisec and BlackBerry ... have identified the malware as capable of functioning as a full-fledged backdoor.'}]","{'actors': [], 'malware': ['Jupyter', 'Yellow Cockatoo', 'Solarmarker', 'Polazert'], 'cves': [], 'sectors': [], 'regions': [], 'mitre': []}","{'from': '2020-01-01', 'to': None}",high
6,"Which ransomware is described as targeting Microsoft SQL servers, and what initial access or execution mechanisms are stated for the infection chain?",True,"FARGO ransomware (aka Mallox/TargetCompany) is described as infecting vulnerable Microsoft SQL servers. The infection is stated as starting via powershell.exe and cmd.exe to download a .NET file; servers are often compromised via brute-force, and actors may also exploit well-known unpatched vulnerabilities.","[{'source_id': 'CTI_TEXTS', 'page': 6, 'quote': 'Vulnerable Microsoft SQL servers are currently being targeted by threat actors and infected with FARGO ransomware (also known as Mallox and TargetCompany).'}, {'source_id': 'CTI_TEXTS', 'page': 6, 'quote': 'The ransomware infection starts by using powershell.exe and cmd.exe to download a .NET file'}, {'source_id': 'CTI_TEXTS', 'page': 6, 'quote': 'Database servers are often compromised via brute-force'}, {'source_id': 'CTI_TEXTS', 'page': 6, 'quote': 'may also try to attack a database server by exploiting well-known and unpatched vulnerabilities'}]","{'actors': [], 'malware': ['FARGO', 'Mallox', 'TargetCompany'], 'cves': [], 'sectors': [], 'regions': [], 'mitre': []}","{'from': '2022-02-01', 'to': None}",high
7,"Which actor is described as leveraging DNS hijacking to harvest credentials, and what additional Linux/Unix persistence mechanism is mentioned alongside that activity?",True,"Sea Turtle (aka Cosmic Wolf/Marbled Dust/Teal Kurma/UNC1326) is described as primarily leveraging DNS hijacking to redirect targets to actor-controlled servers to harvest credentials. The text also mentions use of a simple reverse TCP shell web shell called SnappyTCP on Linux/Unix systems, likely for establishing persistence.","[{'source_id': 'CTI_TEXTS', 'page': 9, 'quote': 'primarily leveraging DNS hijacking ... to an actor-controlled server capable of harvesting their credentials.'}, {'source_id': 'CTI_TEXTS', 'page': 9, 'quote': 'using a simple reverse TCP shell for Linux (and Unix) systems called SnappyTCP'}, {'source_id': 'CTI_TEXTS', 'page': 9, 'quote': 'likely used for establishing persistence'}]","{'actors': ['Sea Turtle', 'Cosmic Wolf', 'Marbled Dust', 'Teal Kurma', 'UNC1326'], 'malware': ['SnappyTCP'], 'cves': [], 'sectors': [], 'regions': ['Middle East', 'North Africa'], 'mitre': []}","{'from': '2017-01-01', 'to': '2023-12-31'}",high
8,"Which actor is described as conducting email credential theft using password-protected PDF lures, and which target communities or sectors are stated as a primary focus?",True,"Star Blizzard (aka Seaborgium/BlueCharlie/Callisto Group/Coldriver) is described as carrying out email credential theft and using password-protected PDF lure documents (or links to cloud file sharing with protected PDFs) to bypass email filters. The actor historically targets organizations in NATO member countries in politics and defense-related fields, including NGOs, think tanks, journalists, academic institutions, and intergovernmental organizations, and has especially targeted those supporting Ukraine.","[{'source_id': 'CTI_TEXTS', 'page': 8, 'quote': 'Star Blizzard ... has been carrying out email credential theft'}, {'source_id': 'CTI_TEXTS', 'page': 8, 'quote': 'started using password-protected PDF lure documents, or links to cloud-based file sharing platforms'}, {'source_id': 'CTI_TEXTS', 'page': 8, 'quote': 'focused its aim on public and private organizations in NATO member countries ... politics, defense ... NGOs, think tanks, journalists, academic institutions, intergovernmental organizations'}, {'source_id': 'CTI_TEXTS', 'page': 8, 'quote': 'especially targeted individuals and organizations providing support for Ukraine'}]","{'actors': ['Star Blizzard', 'Seaborgium', 'BlueCharlie', 'Callisto Group', 'Coldriver'], 'malware': [], 'cves': [], 'sectors': ['Politics', 'Defense', 'NGO', 'Think tank', 'Journalism', 'Academia', 'Intergovernmental organization'], 'regions': ['NATO member countries', 'Ukraine'], 'mitre': []}","{'from': '2017-01-01', 'to': None}",high
9,"Which vulnerability is described as increasing risk of supply chain attacks, and what additional impact types are explicitly listed as potential outcomes?",True,"CVE-2023-7028 affecting internet-exposed GitLab instances is described as putting servers at risk of supply chain attacks. Additional explicitly listed potential outcomes include proprietary code disclosure and API key leaks (and ""other malicious activity"").","[{'source_id': 'CTI_TEXTS', 'page': 1, 'quote': 'these servers are at risk of supply chain attacks, proprietary code disclosure, API key leaks, and other malicious activity.'}]","{'actors': [], 'malware': [], 'cves': ['CVE-2023-7028'], 'sectors': ['Software development'], 'regions': [], 'mitre': []}","{'from': None, 'to': None}",high
10,"Which vulnerability is described as enabling arbitrary code execution via user interaction with a crafted archive, and what victim profile is explicitly mentioned as being targeted by campaigns exploiting it?",True,CVE-2023-38831 in WinRAR is described as allowing attackers to execute arbitrary code when a user attempts to view a benign file within a crafted ZIP archive. Campaigns exploiting it are described as targeting financial traders.,"[{'source_id': 'CTI_TEXTS', 'page': 3, 'quote': 'later assigned CVE-2023-38831 ... allows attackers to execute arbitrary code when a user attempts to view a benign file ... within a ZIP archive.'}, {'source_id': 'CTI_TEXTS', 'page': 3, 'quote': 'exploited as 0-day by cybercrime actors ... for campaigns targeting financial traders'}]","{'actors': [], 'malware': [], 'cves': ['CVE-2023-38831'], 'sectors': ['Financial'], 'regions': [], 'mitre': []}","{'from': '2023-04-01', 'to': None}",high
