q_id,category,system,question,gold_answer,prediction,Exact,Strict-Exact,F1,BLEU,ROUGE1,ROUGEL,BERT-F1,Halluc-Prec,Unknown,Answered,time_sec
1,simple,RAG,What family is assigned to Magniber malware?,Ransomware,I don't know.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5775159392505884
1,simple,GRAG,What family is assigned to Magniber malware?,Ransomware,Magniber malware is assigned to the Ransomware family.,1.0,0.0,0.2222222222222222,4.767707020457095,0.2222222222222222,0.2222222222222222,0.8800694942474365,0.125,0.0,1.0,2.1060047522187233
1,simple,AGRAG,What family is assigned to Magniber malware?,Ransomware,Magniber is assigned to the Ransomware family.,1.0,0.0,0.25,5.522397783539471,0.25,0.25,0.8850020170211792,0.14285714285714285,0.0,1.0,3.3899864507839084
1,simple,HRAG,What family is assigned to Magniber malware?,Ransomware,Ransomware,1.0,1.0,1.0,0.0,1.0,1.0,1.0000001192092896,1.0,0.0,1.0,2.877520623616874
2,simple,RAG,What is the published date for CVE-2022-44698?,2022-12-01,I don't know.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5558779910206795
2,simple,GRAG,What is the published date for CVE-2022-44698?,2022-12-01,"The published date for CVE-2022-44698 is December 1, 2022.",0.0,0.0,0.0,3.673526562988939,0.14285714285714288,0.14285714285714288,0.7798007130622864,0.0,0.0,1.0,11.65648215264082
2,simple,AGRAG,What is the published date for CVE-2022-44698?,2022-12-01,2022-12-01,1.0,1.0,1.0,100.00000000000004,1.0,1.0,1.0,1.0,0.0,1.0,2.464896230958402
2,simple,HRAG,What is the published date for CVE-2022-44698?,2022-12-01,2022-12-01,1.0,1.0,1.0,100.00000000000004,1.0,1.0,1.0,1.0,0.0,1.0,2.950804357416928
3,simple,RAG,What tactic is recorded for technique T1566?,Initial Access,I don't know.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.48808752093464136
3,simple,GRAG,What tactic is recorded for technique T1566?,Initial Access,The tactic recorded for technique T1566 is Initial Access.,1.0,0.0,0.1818181818181818,8.392229812593097,0.3636363636363636,0.3636363636363636,0.8494636416435242,0.1111111111111111,0.0,1.0,2.2093417197465897
3,simple,AGRAG,What tactic is recorded for technique T1566?,Initial Access,Initial Access,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,2.8203953159973025
3,simple,HRAG,What tactic is recorded for technique T1566?,Initial Access,I don't know,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.505724205635488
4,simple,RAG,What is the incident type for inc-clop-servu-2021-11?,ransomware,Ransomware,1.0,1.0,1.0,0.0,1.0,1.0,0.8156494498252869,1.0,0.0,1.0,0.5211564619094133
4,simple,GRAG,What is the incident type for inc-clop-servu-2021-11?,ransomware,The incident type for inc-clop-servu-2021-11 is ransomware.,1.0,0.0,0.0,4.196114906296549,0.16666666666666669,0.16666666666666669,0.785728394985199,0.0,0.0,1.0,2.2003940511494875
4,simple,AGRAG,What is the incident type for inc-clop-servu-2021-11?,ransomware,The incident type is ransomware.,1.0,0.0,0.0,8.116697886877475,0.33333333333333337,0.33333333333333337,0.8296536803245544,0.0,0.0,1.0,3.495737505145371
4,simple,HRAG,What is the incident type for inc-clop-servu-2021-11?,ransomware,I don't know.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.085753111168742
5,simple,RAG,What value is stored in incident inc-clop-servu-2021-11 exfiltration?,true,I don't know.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5170250767841935
5,simple,GRAG,What value is stored in incident inc-clop-servu-2021-11 exfiltration?,true,The value stored in incident inc-clop-servu-2021-11 for exfiltration is True.,1.0,0.0,0.0,0.0,0.13333333333333333,0.13333333333333333,0.7894513010978699,0.0,0.0,1.0,3.9757388597354293
5,simple,AGRAG,What value is stored in incident inc-clop-servu-2021-11 exfiltration?,true,true,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,2.8179098572582006
5,simple,HRAG,What value is stored in incident inc-clop-servu-2021-11 exfiltration?,true,I don't know.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.130569110624492
6,simple,RAG,What sponsor is set for Flax Typhoon?,China,I don't know.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.46351622603833675
6,simple,GRAG,What sponsor is set for Flax Typhoon?,China,I'm unable to provide information about that.,0.0,0.0,0.0,0.0,0.0,0.0,0.8048429489135742,0.0,0.0,1.0,0.6231126235798001
6,simple,AGRAG,What sponsor is set for Flax Typhoon?,China,China,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,2.9436876121908426
6,simple,HRAG,What sponsor is set for Flax Typhoon?,China,I don't know.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.1623811973258853
7,simple,RAG,What motivation is set for Flax Typhoon?,espionage,I don't know.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5154587747529149
7,simple,GRAG,What motivation is set for Flax Typhoon?,espionage,Espionage,1.0,1.0,1.0,0.0,1.0,1.0,0.8526207804679871,1.0,0.0,1.0,5.844700066372752
7,simple,AGRAG,What motivation is set for Flax Typhoon?,espionage,espionage,1.0,1.0,1.0,0.0,1.0,1.0,0.9999996423721313,1.0,0.0,1.0,2.6785480100661516
7,simple,HRAG,What motivation is set for Flax Typhoon?,espionage,Espionage,1.0,1.0,1.0,0.0,1.0,1.0,0.8526207804679871,1.0,0.0,1.0,2.7129196850582957
8,simple,RAG,What technique ID corresponds to Network Sniffing?,T1040,I don't know.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5346248419955373
8,simple,GRAG,What technique ID corresponds to Network Sniffing?,T1040,The technique ID that corresponds to Network Sniffing is T1040.,1.0,0.0,0.0,3.7477767366779213,0.18181818181818182,0.18181818181818182,0.8537479639053345,0.0,0.0,1.0,5.545333615504205
8,simple,AGRAG,What technique ID corresponds to Network Sniffing?,T1040,T1040,1.0,1.0,1.0,0.0,1.0,1.0,1.0000001192092896,1.0,0.0,1.0,2.716960151679814
8,simple,HRAG,What technique ID corresponds to Network Sniffing?,T1040,I don't know.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.753334505483508
9,simple,RAG,What is the incident date for inc-zuorat-soho-routers-2020-04?,2020-04-01,I don't know.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6280574863776565
