id,question,answerable,answer,evidence,normalized_entities,timeframe,confidence
1,"Which threat actors are explicitly described as state-sponsored or nation-state, and what targeting focus or operational objective is attributed to each?",True,"CTI_TEXTS explicitly describe several actors as nation-state/state-backed and attribute targeting objectives as follows: Peach Sandstorm (Iranian nation-state) conducts password-spray initial access to facilitate intelligence collection in support of Iranian state interests, targeting satellite, defense, and pharmaceutical sectors. TA444 (North Korean state-backed) targets macOS users with a backdoor capability. UNC-0050 repeatedly targets Ukrainian government entities using RemcosRAT with likely political motivation for intelligence collection. ZuoRAT activity targeting SOHO routers is assessed as possibly state-sponsored (attributed as suggesting state-sponsored actor). Storm-0978/RomCom is described as a Russian threat actor exploiting a Microsoft Office RCE-related weakness; it is also linked to ransomware operations (Industrial Spy) and extortion under a rebrand.

Timeframes referenced in CTI_TEXTS include: Peach Sandstorm observed since February 2023; UNC-0050 activity described as 'back at it again'; ZuoRAT active since April 2020; TA444 debuted SpectralBlur in August (year not specified in CTI_TEXTS).","[{'source_id': 'CTI_TEXTS', 'page': 1, 'quote': 'Peach Sandstorm is an Iranian nation-state threat actor... likely used to facilitate intelligence collection in support of Iranian state interests.'}, {'source_id': 'CTI_TEXTS', 'page': 1, 'quote': 'The prolific North Korean state-backed threat actor known as TA444...'}, {'source_id': 'CTI_TEXTS', 'page': 1, 'quote': 'UNC-0050... is focused on Ukrainian government entities... with the goal of collecting specific intelligence from Ukrainian government agencies.'}, {'source_id': 'CTI_TEXTS', 'page': 1, 'quote': 'The ability to not only hop on a LAN... suggests that the RAT may be the work of a state-sponsored actor.'}]","{'actors': ['Peach Sandstorm', 'TA444', 'UNC-0050', 'Storm-0978', 'RomCom'], 'malware': ['SpectralBlur', 'ZuoRAT', 'RemcosRAT', 'Industrial Spy Ransomware'], 'cves': ['CVE-2023-36884'], 'sectors': ['Satellite', 'Defense', 'Pharmaceutical', 'Government'], 'regions': ['Iran', 'North Korea', 'Ukraine', 'Russia'], 'mitre': []}","{'from': '2020-04-01', 'to': None}",medium
2,"What multi-platform malware families are linked to a single threat actor, and which operating systems do they target?",True,"Earth Berberoka (aka GamblingPuppet) is linked to multiple malware families—PlugX, Gh0st RAT, and a multistage family named PuppetLoader—and these families are described as multiplatform targeting Windows, Linux, and macOS.","[{'source_id': 'CTI_TEXTS', 'page': 1, 'quote': 'Earth Berberoka... uses... PlugX and Gh0st RAT... and... PuppetLoader. The malware families used... are multiplatform, targeting the Windows, Linux, and macOS operating systems.'}]","{'actors': ['Earth Berberoka', 'GamblingPuppet'], 'malware': ['PlugX', 'Gh0st RAT', 'PuppetLoader'], 'cves': [], 'sectors': ['Online Gambling'], 'regions': ['China'], 'mitre': []}","{'from': None, 'to': None}",high
3,"Which vulnerabilities in Microsoft Support Diagnostic Tool (MSDT) are described, and what exploitation prerequisites and delivery mechanisms are stated for each?",True,Two MSDT-related vulnerabilities are described. Follina (CVE-2022-30190) allows remote code execution via the ms-msdt protocol handler and can be delivered using a specially crafted Word document (or RTF) that pulls a remote template/HTML which then executes PowerShell. Dogwalk (CVE-2022-34713) is also tied to Windows MSDT and allows remote code execution but is described as only performable by an adversary with physical access to the vulnerable computer.,"[{'source_id': 'CTI_TEXTS', 'page': 1, 'quote': 'Follina (CVE-2022-30190)... allows remote code execution... through the ms-msdt protocol handler scheme... exploited by a specially crafted Word document...'}, {'source_id': 'CTI_TEXTS', 'page': 1, 'quote': 'Dogwalk... (CVE-2022-34713)... tied to a Microsoft Windows Support Diagnostic Tool... exploitation... can only be preformed by an adversary with physical access'}]","{'actors': [], 'malware': [], 'cves': ['CVE-2022-30190', 'CVE-2022-34713'], 'sectors': [], 'regions': [], 'mitre': []}","{'from': None, 'to': None}",high
4,"Which vulnerability enables creation of new administrator users in a managed file transfer product, and what is the described exploitation path to reach the account setup endpoint?",True,"CVE-2024-0204 in Fortra GoAnywhere MFT is described as an authentication bypass that can be exploited via a path traversal issue to access the /InitialAccountSetup.xhtml endpoint and create a new administrator account through the administration portal on unpatched, internet-exposed instances.","[{'source_id': 'CTI_TEXTS', 'page': 1, 'quote': ""critical authentication bypass vulnerability in Fortra's GoAnywhere MFT... create new admin users... path traversal issue at the root of CVE-2024-0204 to access the vulnerable /InitialAccountSetup.xhtml endpoint""}]","{'actors': [], 'malware': [], 'cves': ['CVE-2024-0204'], 'sectors': [], 'regions': [], 'mitre': []}","{'from': None, 'to': None}",high
5,"Which actor is identified as an Initial Access Broker, which exploited vulnerability is attributed to their operations, and which downstream ransomware ecosystem is the actor linked with?",True,EXOTIC LILY is identified as an Initial Access Broker (IAB). They were observed exploiting a Microsoft MSHTML 0-day (CVE-2021-40444) and appear to be working with the Russian cybercrime gang FIN12 / WIZARD SPIDER. Their activities are linked with data exfiltration and deployment of human-operated ransomware including Conti and Diavol.,"[{'source_id': 'CTI_TEXTS', 'page': 1, 'quote': 'we refer to as EXOTIC LILY, exploiting a 0day in Microsoft MSHTML (CVE-2021-40444)... an Initial Access Broker (IAB)... working with... FIN12... / WIZARD SPIDER... linked with... deployment of human-operated ransomware such as Conti and Diavol.'}]","{'actors': ['EXOTIC LILY', 'FIN12', 'WIZARD SPIDER'], 'malware': ['Conti', 'Diavol'], 'cves': ['CVE-2021-40444'], 'sectors': ['IT', 'Cybersecurity', 'Healthcare'], 'regions': ['Russia'], 'mitre': []}","{'from': '2021-09-01', 'to': '2021-11-30'}",high
6,"Which vulnerability is described as enabling zero-click account takeover in a software development platform, and what follow-on risks are explicitly associated with that exposure?",True,"CVE-2023-7028 is described as a zero-click account takeover flaw affecting internet-exposed GitLab instances. The stated follow-on risks include supply chain attacks, proprietary code disclosure, API key leaks, and other malicious activity.","[{'source_id': 'CTI_TEXTS', 'page': 1, 'quote': 'internet-exposed GitLab instances are vulnerable to CVE-2023-7028, a zero-click account takeover flaw... servers are at risk of supply chain attacks, proprietary code disclosure, API key leaks'}]","{'actors': [], 'malware': [], 'cves': ['CVE-2023-7028'], 'sectors': ['Software Development'], 'regions': [], 'mitre': []}","{'from': None, 'to': None}",high
7,"Which Russian threat actor is linked to active exploitation of a Microsoft Office remote code execution bypass, and what ransomware operation history is attributed to that actor?",True,"Storm-0978/RomCom is identified as responsible for actively exploiting CVE-2023-36884, which allowed crafted Microsoft Office documents to bypass Mark of the Web protections and enable remote code execution. The same actor is described as previously recognized for deploying the Industrial Spy ransomware and later rebranding as 'Underground' to extort victims through ransomware operations.","[{'source_id': 'CTI_TEXTS', 'page': 1, 'quote': ""Storm-0978/RomCom is responsible for actively exploiting this vulnerability... previously recognized for deploying the Industrial Spy ransomware... has now rebranded as 'Underground' and extorts victims through their ransomware operations.""}]","{'actors': ['Storm-0978', 'RomCom', 'Underground'], 'malware': ['Industrial Spy Ransomware'], 'cves': ['CVE-2023-36884'], 'sectors': [], 'regions': ['Russia'], 'mitre': []}","{'from': None, 'to': None}",medium
8,"Which actor is described as conducting password spray activity at scale, what sectors are targeted, and what post-compromise actions are observed when authentication succeeds?",True,"Peach Sandstorm is described as conducting password spray activity against thousands of organizations, targeting satellite, defense, and pharmaceutical sectors globally. When authentication succeeds, the actor uses publicly available and custom tools for discovery, persistence, and lateral movement, and in a small number of intrusions was observed exfiltrating data.","[{'source_id': 'CTI_TEXTS', 'page': 1, 'quote': 'Microsoft has observed password spray activity... Peach Sandstorm... pursued organizations in the satellite, defense, and pharmaceutical sectors... using... tools for discovery, persistence, and lateral movement... observed exfiltrating data'}]","{'actors': ['Peach Sandstorm', 'HOLMIUM'], 'malware': [], 'cves': [], 'sectors': ['Satellite', 'Defense', 'Pharmaceutical'], 'regions': ['Iran'], 'mitre': []}","{'from': '2023-02-01', 'to': None}",high
9,"Which malware loader is used to deliver Formbook and XLoader, and what initial access method and delivery chain are described for that loader?",True,"JinxLoader (a Go-based loader) is described as delivering next-stage payloads Formbook and XLoader. The initial access method described is phishing emails impersonating ADNOC that deliver password-protected RAR attachments; opening the archive drops the JinxLoader executable, which then acts as a gateway for Formbook or XLoader.","[{'source_id': 'CTI_TEXTS', 'page': 1, 'quote': 'Go-based malware loader called JinxLoader... deliver... Formbook... XLoader... attacks begin with phishing emails impersonating... ADNOC... password-protected RAR archive attachments... drop the JinxLoader executable'}]","{'actors': [], 'malware': ['JinxLoader', 'Formbook', 'XLoader'], 'cves': [], 'sectors': ['Energy'], 'regions': ['United Arab Emirates'], 'mitre': []}","{'from': None, 'to': None}",high
10,"Which threat actor is associated with multiple loader families and RATs in the same operational context, and what payload relationships are stated?",True,"TA544 (aka Narwal Spider) is described as leveraging new variants of IDAT Loader to deploy Remcos RAT or SystemBC malware. In the same context, campaigns distributing DarkGate and PikaBot are also noted, but the explicit payload relationship stated for TA544 is IDAT Loader leading to Remcos RAT or SystemBC.","[{'source_id': 'CTI_TEXTS', 'page': 1, 'quote': 'TA544 (aka Narwal Spider) leveraging new variants of loader malware called IDAT Loader to deploy Remcos RAT or SystemBC malware.'}]","{'actors': ['TA544', 'Narwal Spider'], 'malware': ['IDAT Loader', 'Remcos RAT', 'SystemBC', 'DarkGate', 'PikaBot'], 'cves': [], 'sectors': [], 'regions': [], 'mitre': []}","{'from': None, 'to': None}",medium
