q_id,category,system,question,gold_answer,prediction,Exact,Strict-Exact,F1,BLEU,ROUGE1,ROUGEL,BERT-F1,Halluc-Prec,Unknown,Answered,time_sec
1,simple,RAG,What motivation type is assigned to BlackCat?,financial,The provided context does not specify the motivation type assigned to BlackCat.,0.0,0.0,0.0,0.0,0.0,0.0,0.8094998598098755,0.0,0.0,1.0,1.295455273706466
1,simple,GRAG,What motivation type is assigned to BlackCat?,financial,BlackCat is assigned the **financial** motivation type.,1.0,0.0,0.0,3.3864985683445354,0.25,0.25,0.8299967646598816,0.0,0.0,1.0,39.83122810116038
1,simple,AGRAG,What motivation type is assigned to BlackCat?,financial,financial,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,4.0211542611941695
1,simple,HRAG,What motivation type is assigned to BlackCat?,financial,financial,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,13.180581241380423
2,simple,RAG,What technique tactic is recorded for T1105?,Command and Control,The provided context does not specify the technique or tactic recorded for T1105.,0.0,0.0,0.0,0.0,0.0,0.0,0.8044465780258179,0.0,0.0,1.0,0.9454295141622424
2,simple,GRAG,What technique tactic is recorded for T1105?,Command and Control,"For technique **T1105 (Ingress Tool Transfer)**, the recorded tactic is **Command and Control**.",1.0,0.0,0.125,5.606668411195422,0.375,0.375,0.8331450819969177,0.07692307692307693,0.0,1.0,7.07625679904595
2,simple,AGRAG,What technique tactic is recorded for T1105?,Command and Control,The tactic recorded for T1105 is Command and Control.,1.0,0.0,0.3333333333333333,15.619699684601283,0.5,0.5,0.8558253645896912,0.2222222222222222,0.0,1.0,4.388541949912906
2,simple,HRAG,What technique tactic is recorded for T1105?,Command and Control,Command and Control,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,27.4303385540843
3,simple,RAG,What phase is stored on Munchkin used_technique for T1105?,Lateral Movement,"The phase stored on Munchkin used_technique for T1105 is the propagation phase, where Munchkin is used to propagate the BlackCat payload to remote machines and shares.",0.0,0.0,0.0,0.0,0.0,0.0,0.809410810470581,0.0,0.0,1.0,1.2781358901411295
3,simple,GRAG,What phase is stored on Munchkin used_technique for T1105?,Lateral Movement,The phase stored on Munchkin for the `used_technique` **T1105** is **Lateral Movement**.,1.0,0.0,0.0,3.012378646187734,0.2666666666666667,0.2666666666666667,0.8468657732009888,0.0,0.0,1.0,58.31830099504441
3,simple,AGRAG,What phase is stored on Munchkin used_technique for T1105?,Lateral Movement,Lateral Movement,1.0,1.0,1.0,0.0,1.0,1.0,0.9999999403953552,1.0,0.0,1.0,5.54227386880666
3,simple,HRAG,What phase is stored on Munchkin used_technique for T1105?,Lateral Movement,Ingress Tool Transfer,0.0,0.0,0.0,0.0,0.0,0.0,0.8478811979293823,0.0,0.0,1.0,14.741995346266776
4,simple,RAG,What sponsor is set for TA444?,North Korea,The sponsor set for TA444 is North Korea.,1.0,0.0,0.2,9.535414040914192,0.4,0.4,0.8748230934143066,0.125,0.0,1.0,0.6978092789649963
4,simple,GRAG,What sponsor is set for TA444?,North Korea,No sponsor is set for TA444 (no sponsor information was found in the database).,0.0,0.0,0.0,0.0,0.0,0.0,0.802051305770874,0.0,0.0,1.0,58.68716637883335
4,simple,AGRAG,What sponsor is set for TA444?,North Korea,North Korea,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,4.960022492334247
4,simple,HRAG,What sponsor is set for TA444?,North Korea,North Korea,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,32.56200554501265
5,simple,RAG,What service label is used for the C2 infrastructure tied to SpectralBlur?,Command-and-control server,The provided context does not specify the service label used for the C2 infrastructure tied to SpectralBlur.,0.0,0.0,0.0,0.0,0.0,0.0,0.8162940144538879,0.0,0.0,1.0,1.1536609907634556
