id,category,question,answerable,answer,confidence,evidence,normalized_entities
1,simple,What sponsor is set for Lazarus?,True,North Korea,,,
2,simple,What malware family is assigned to FudModule?,True,Rootkit,,,
3,simple,What is the published date of CVE-2023-7024?,True,2023-12-19,,,
4,simple,What sector is assigned to Unnamed Middle East government victim?,True,Government,,,
5,simple,What type is recorded for incident crambus-middle-east-gov-2023-02-09?,True,intrusion,,,
6,simple,What tactic is recorded for technique T1110.003?,True,Credential Access,,,
7,simple,What incident date is recorded for microsoft-midnight-blizzard-2024-01-12?,True,2024-01-12,,,
8,simple,What family is recorded for Magniber malware?,True,ransomware,,,
9,simple,What ISO2 code is stored for country South Korea?,True,KR,,,
10,simple,What tactic is recorded for technique T1496?,True,Impact,,,
11,simple,What sponsor is set for Midnight Blizzard?,True,Russia,,,
12,simple,What confidence is set on Xamalicious incident attribution?,True,low,,,
13,simple,What incident type is set for lockbit-linux-esxi-2021-10?,True,ransomware,,,
14,simple,What sponsor is set for Diamond Sleet?,True,North Korea,,,
15,simple,What sector is assigned to CyberLink Corp.?,True,Technology,,,
16,single_hop,Which mitigation is marked as recommended for Password Spraying?,True,MFA,,,
17,single_hop,Which CVE is supported by the Google source google-chrome-cve-2023-7024?,True,CVE-2023-7024,,,
18,single_hop,Which malware is involved in incident avast-lazarus-cve-2024-21338-2023-observed?,True,FudModule,,,
19,single_hop,Which threat actor is incident avast-lazarus-cve-2024-21338-2023-observed attributed to?,True,Lazarus,,,
20,single_hop,Which technique is used in incident avast-lazarus-cve-2024-21338-2023-observed?,True,T1068,,,
21,single_hop,Which victim is targeted by incident crambus-middle-east-gov-2023-02-09?,True,Unnamed Middle East government,,,
22,single_hop,Which region did incident crambus-middle-east-gov-2023-02-09 occur in?,True,Middle East,,,
23,single_hop,Which tool is involved in the Crambus Middle East intrusion incident?,True,Plink,,,
24,single_hop,Which malware does Crambus use in the 2023 intrusion?,True,PowerExchange,,,
25,single_hop,Which malware does Earth Berberoka use that is labeled brand-new multistage?,True,PuppetLoader,,,
26,single_hop,Which tool does APT29 use in the TeamCity exploitation alert?,True,JetBrains TeamCity,,,
27,single_hop,Which CVE is exploited in incident inc-apt29-teamcity-cve-2023-42793-2023-09?,True,CVE-2023-42793,,,
28,single_hop,Which country is the 2017 Magniber incident recorded as occurring in?,True,South Korea,,,
29,single_hop,Which capability does StealBit leverage?,True,Automation,,,
30,single_hop,Which C2 infrastructure does W32.Fanni abuse?,True,Infected USB sticks,,,
31,multi_hop,Which CVE is exploited by malware used by Lazarus?,True,CVE-2024-21338,,,
32,multi_hop,Which technique ID is linked to Lazarus exploitation incident via used_technique?,True,T1068,,,
33,multi_hop,Which publisher supports the Lazarus–FudModule relationship?,True,Avast,,,
34,multi_hop,Which tactics are associated with techniques used in Crambus incident?,True,"Lateral Movement, Defense Evasion, Collection, Credential Access",,,
35,multi_hop,Which tool enabled remote services technique in the Crambus incident?,True,Plink,,,
36,multi_hop,Which technique name is mitigated by MFA?,True,Password Spraying,,,
37,multi_hop,How many sectors are targeted by microsoft-midnight-blizzard-2024-01-12?,True,3,,,
38,multi_hop,How many aliases are linked from APT29 in the TeamCity alert?,True,4,,,
39,multi_hop,How many distinct incident dates are linked to microsoft-midnight-blizzard-2024-01-12?,True,2,,,
40,multi_hop,What is the earliest date among incidents involving Magniber?,True,2017-01-01,,,
41,multi_hop,How many distinct CVEs are linked to Magniber incidents via exploited_in?,True,2,,,
42,multi_hop,How many countries is the Diamond Sleet supply chain incident recorded in?,True,4,,,
43,multi_hop,Which countries are linked to the Diamond Sleet supply chain incident?,True,"Japan, Taiwan, Canada, United States",,,
44,multi_hop,How many techniques are linked to the Xamalicious distribution incident?,True,3,,,
45,multi_hop,Which tool is used by malware involved in Xamalicious incident?,True,Xamarin,,,
46,unanswerable,What CVSS score is recorded for CVE-2024-21338?,False,,,,
47,unanswerable,What is the exact patch release date for CVE-2024-21338?,False,,,,
48,unanswerable,Which specific Android app package names contained Xamalicious?,False,,,,
49,unanswerable,What encryption algorithm is used by Linux-ESXI Locker 1.0?,False,,,,
50,unanswerable,What exact countries were targeted in Magniber’s 2018 Asia expansion?,False,,,,
1,guided,"Which threat actor is explicitly linked to exploitation of a Windows kernel driver vulnerability for privilege escalation, and what rootkit is associated with that activity?",True,"Lazarus (North Korean threat group) exploited the Windows vulnerability CVE-2024-21338 for privilege escalation, and the activity involved the FudModule rootkit.",high,"[{'source_id': 'CTI_TEXT_1', 'page': 1, 'quote': 'The notorious North Korean threat group known as Lazarus exploited a Windows zero-day vulnerability for privilege escalation in attacks involving a rootkit named FudModule'}, {'source_id': 'CTI_TEXT_1', 'page': 1, 'quote': 'The vulnerability is tracked as CVE-2024-21338'}]","{'actors': ['Lazarus'], 'malware': ['FudModule'], 'cves': ['CVE-2024-21338'], 'sectors': [], 'regions': ['North Korea'], 'mitre': []}"
2,guided,"Which vulnerabilities are described as being exploited in the wild, and what affected product or component is named for each vulnerability?",True,CVE-2023-7024 is described as exploited in the wild and is a heap-based buffer overflow in Chrome's WebRTC framework. CVE-2024-21338 was observed exploited by Lazarus and impacts the Windows 'appid.sys' driver associated with Microsoft AppLocker.,high,"[{'source_id': 'CTI_TEXT_2', 'page': 1, 'quote': 'address a high-severity zero-day flaw that it said has been exploited in the wild... CVE-2023-7024... heap-based buffer overflow bug in the WebRTC framework'}, {'source_id': 'CTI_TEXT_1', 'page': 1, 'quote': 'The vulnerability is tracked as CVE-2024-21338... impacts the ‘appid.sys’ driver associated with Microsoft’s AppLocker security feature'}]","{'actors': ['Lazarus'], 'malware': [], 'cves': ['CVE-2023-7024', 'CVE-2024-21338'], 'sectors': [], 'regions': [], 'mitre': []}"
3,guided,"Which actor used password spraying to access a legacy test tenant and then breached corporate email accounts, and what types of internal departments were affected?",True,"Midnight Blizzard (also known as Nobelium/APT29) conducted a password spray attack against a legacy non-production test tenant account and breached corporate email accounts, including accounts belonging to leadership and employees in the cybersecurity and legal departments.",high,"[{'source_id': 'CTI_TEXT_5', 'page': 1, 'quote': 'data stolen by a Russian state-sponsored hacking group known as Midnight Blizzard... known more commonly as Nobelium or APT29'}, {'source_id': 'CTI_TEXT_5', 'page': 1, 'quote': ""conducted a password spray attack to access a legacy non-production test tenant account... breached email accounts included members of Microsoft's leadership team and employees in the cybersecurity and legal departments""}]","{'actors': ['Midnight Blizzard', 'APT29', 'Nobelium'], 'malware': [], 'cves': [], 'sectors': [], 'regions': ['Russia'], 'mitre': []}"
4,guided,"What is the relationship between APT29 and the JetBrains TeamCity remote code execution vulnerability, including the exploitation condition and the CVE identifier?",True,APT29 is reported to be actively exploiting the JetBrains TeamCity vulnerability CVE-2023-42793 at large scale; the flaw is described as an unauthenticated remote code execution (RCE) bug affecting TeamCity servers.,high,"[{'source_id': 'CTI_TEXT_7', 'page': 1, 'quote': 'APT29... is hammering servers hosting TeamCity software at a large scale using the unauthenticated remote code execution (RCE) bug... tracked as CVE-2023-42793'}]","{'actors': ['APT29', 'CozyBear', 'Midnight Blizzard', 'Nobelium'], 'malware': [], 'cves': ['CVE-2023-42793'], 'sectors': ['Software'], 'regions': ['Russia'], 'mitre': []}"
5,guided,"Which espionage group deployed a PowerShell backdoor that used an Exchange Server mailbox monitoring mechanism to execute commands, and what was the backdoor name?",True,"The Iranian Crambus espionage group (aka OilRig/APT34) installed a PowerShell backdoor named PowerExchange, which monitored incoming mails from an Exchange Server to execute commands sent via emails.",high,"[{'source_id': 'CTI_TEXT_3', 'page': 1, 'quote': 'The Iranian Crambus espionage group (aka OilRig, APT34)... installed a PowerShell backdoor (dubbed PowerExchange) that was used to monitor incoming mails sent from an Exchange Server in order to execute commands sent by the attackers in the form of emails'}]","{'actors': ['Crambus', 'OilRig', 'APT34'], 'malware': ['PowerExchange'], 'cves': [], 'sectors': ['Government'], 'regions': ['Iran', 'Middle East'], 'mitre': []}"
6,guided,"Which tools or malware enabled remote access in the Middle East government intrusion, and what configuration changes were made to support that access?",True,"Attackers used Plink to configure port-forwarding rules enabling Remote Desktop Protocol (RDP) access, and there is evidence they modified Windows firewall rules to enable remote access; the intrusion also involved the PowerExchange PowerShell backdoor.",high,"[{'source_id': 'CTI_TEXT_3', 'page': 1, 'quote': 'made frequent use of the publicly available network administration tool Plink to configure port-forwarding rules on compromised machines, enabling remote access via the Remote Desktop Protocol (RDP)'}, {'source_id': 'CTI_TEXT_3', 'page': 1, 'quote': 'There is also evidence the attackers modified Windows firewall rules in order to enable remote access.'}, {'source_id': 'CTI_TEXT_3', 'page': 1, 'quote': 'installed a PowerShell backdoor (dubbed PowerExchange)'}]","{'actors': ['Crambus', 'OilRig', 'APT34'], 'malware': ['PowerExchange', 'Plink'], 'cves': [], 'sectors': ['Government'], 'regions': ['Middle East', 'Iran'], 'mitre': []}"
7,guided,"Which malware is described as being capable of targeting air-gapped networks, and what exfiltration mechanism is specified?",True,"W32.Fanni (""Fanny worm"") is described as targeting air-gapped networks and can receive commands and exfiltrate data through infected USB sticks.",high,"[{'source_id': 'CTI_TEXT_6', 'page': 1, 'quote': ""W32.Fanni, which is also known as “Fanny worm”. This worm's chief purpose appears to be the targeting of air-gapped networks. It can receive commands and exfiltrate data through infected USB sticks.""}]","{'actors': ['Equation'], 'malware': ['W32.Fanni', 'Fanny worm'], 'cves': [], 'sectors': [], 'regions': [], 'mitre': []}"
8,guided,"Which actor is linked to multiple specialist tools including a keylogger and an air-gapped-network worm, and what are the tool names?",True,"Equation is described as employing a custom keylogger called Trojan.Grokey (""Grok"") and the air-gapped-network-targeting worm W32.Fanni (""Fanny worm"").",high,"[{'source_id': 'CTI_TEXT_6', 'page': 1, 'quote': 'Equation has employed a number of specialist tools. Among these are Trojan.Grokey a custom keylogger... and W32.Fanni, which is also known as “Fanny worm”.'}]","{'actors': ['Equation'], 'malware': ['Trojan.Grokey', 'Grok', 'W32.Fanni', 'Fanny worm'], 'cves': [], 'sectors': [], 'regions': [], 'mitre': []}"
9,guided,"Which ransomware is reported as being distributed via phishing using digitally signed JavaScript files to bypass Mark-of-the-Web warnings, and what CVE enabled the bypass?",True,"Magniber ransomware was reported distributed via phishing using standalone JavaScript files digitally signed with a malformed key, exploiting CVE-2022-44698 to bypass Mark-of-the-Web warnings.",high,"[{'source_id': 'CTI_TEXT_8', 'page': 1, 'quote': 'phishing attacks were reported to distribute the Magniber ransomware using standalone JavaScript files... exploiting the zero-day vulnerability CVE-2022-44698 to bypass Mark-of-the-Web (MOTW) security warnings'}]","{'actors': [], 'malware': ['Magniber'], 'cves': ['CVE-2022-44698'], 'sectors': [], 'regions': ['South Korea', 'Asia'], 'mitre': []}"
10,guided,"Which ransomware is described as having expanded its initial access exploitation beyond a single country, and which CVE is cited for that expansion?",True,Magniber ransomware is described as having initially targeted South Korea and later expanding targets across Asia using CVE-2018-8174 for initial access.,high,"[{'source_id': 'CTI_TEXT_8', 'page': 1, 'quote': 'exclusively targeted South Korea... In 2018, it expanded its targets across Asia using CVE-2018-8174 for initial access.'}]","{'actors': [], 'malware': ['Magniber'], 'cves': ['CVE-2018-8174'], 'sectors': [], 'regions': ['South Korea', 'Asia'], 'mitre': []}"
11,guided,"What ransomware group is described as using automated data exfiltration tooling as part of a double-extortion model, and what is the tool name?",True,LockBit is described as using a double extortion model and using the StealBit malware to automate data exfiltration.,high,"[{'source_id': 'CTI_TEXT_9', 'page': 1, 'quote': 'LockBit uses a ransomware-as-a-service (RaaS) model... Its double extortion methods... notable tactics was the creation and use of the malware StealBit, which automates data exfiltration.'}]","{'actors': ['LockBit'], 'malware': ['StealBit'], 'cves': [], 'sectors': [], 'regions': [], 'mitre': []}"
12,guided,"Which ransomware operation is described as partnering with network access brokers and other criminal groups, and what business model is explicitly named?",True,LockBit is described as using a Ransomware-as-a-Service (RaaS) model and as having hired network access brokers and cooperated with other criminal groups (example given: Maze).,high,"[{'source_id': 'CTI_TEXT_9', 'page': 1, 'quote': 'LockBit uses a ransomware-as-a-service (RaaS) model... It has been known to hire network access brokers, cooperate with other criminal groups (such as the now defunct Maze)'}]","{'actors': ['LockBit', 'Maze'], 'malware': [], 'cves': [], 'sectors': [], 'regions': [], 'mitre': []}"
