id,question,answerable,answer,evidence,normalized_entities,timeframe,confidence
1,"Which threat actor is linked to abusing Microsoft Exchange Server vulnerabilities using the ProxyShell chain, and what was the stated purpose of the associated malware usage?",True,"APT35 (also known as Charming Kitten / Phosphorus) is described as abusing Microsoft Exchange Server vulnerabilities chained as ProxyShell, and later using a new strain of malware for intelligence collection.","[{'source_id': 'CTI_TEXT_1', 'page': 1, 'quote': 'By 2021, APT35 was abusing Microsoft Exchange Server vulnerabilities that were chained together (ProxyShell)... Using a new strain of malware, the threat actors were able to use the malware for intelligence collection.'}]","{'actors': ['APT35', 'Charming Kitten', 'Phosphorus'], 'malware': [], 'cves': [], 'sectors': [], 'regions': ['Iran', 'Israel', 'United States'], 'mitre': []}","{'from': None, 'to': None}",high
2,"What sectors have been explicitly targeted by APT35 across different campaigns, and which countries were named as locations of those targets?",True,"APT35 is described as targeting academic institutions and medical research organizations. The text names targets in the United States, France, the Middle East region, and Israel.","[{'source_id': 'CTI_TEXT_1', 'page': 1, 'quote': 'APT35 was responsible for targeting several academic institutions in the U.S, France, and the Middle East region... the group targeted medical research organizations in Israel and in the U.S.'}]","{'actors': ['APT35', 'Charming Kitten', 'Phosphorus'], 'malware': [], 'cves': [], 'sectors': ['Academia', 'Medical research'], 'regions': ['United States', 'France', 'Middle East', 'Israel'], 'mitre': []}","{'from': None, 'to': None}",high
3,"Which tool is attributed to APT35 for quietly extracting emails, and what victim data source is explicitly mentioned?",True,APT35 is described as using a tool called Hyperscrape to quietly extract emails from victims' mailboxes.,"[{'source_id': 'CTI_TEXT_1', 'page': 1, 'quote': ""The group has also been seen using a new tool called Hyperscrape to quietly extract emails from victim's mailboxes.""}]","{'actors': ['APT35', 'Charming Kitten', 'Phosphorus'], 'malware': [], 'cves': [], 'sectors': [], 'regions': [], 'mitre': []}","{'from': None, 'to': None}",high
4,"Which vulnerability (CVE) is associated with command injection in Hikvision cameras, and what is the described patching status at scale?",True,"CVE-2021-36260 is described as a command injection flaw affecting Hikvision cameras, and the text states that over 80,000 affected devices remain unpatched.","[{'source_id': 'CTI_TEXT_2', 'page': 1, 'quote': 'a command injection flaw in Hikvision cameras was revealed... as CVE-2021-36260... over 80,000 affected devices remain unpatched.'}]","{'actors': [], 'malware': [], 'cves': ['CVE-2021-36260'], 'sectors': ['Video surveillance'], 'regions': ['United States'], 'mitre': []}","{'from': None, 'to': None}",high
5,"Which threat-actor groups are speculated as potential exploiters of the Hikvision command injection vulnerability, and what underground venue is mentioned in relation to collaboration and leaked credentials?",True,"The text speculates that Chinese threat groups such as MISSION2025/APT41 and APT10 and its affiliates, as well as unknown Russian threat actor groups, could potentially exploit the Hikvision vulnerability. It also mentions Russian dark web forums where hackers sought collaboration and leaked credentials were for sale.","[{'source_id': 'CTI_TEXT_2', 'page': 1, 'quote': ""hackers looking to collaborate on exploiting Hikvision cameras... specifically in Russian dark web forums, where leaked credentials have been put up for sale... 'Chinese threat groups such as MISSION2025/APT41, APT10... as well as unknown Russian threat actor groups could potentially exploit vulnerabilities in these devices'""}]","{'actors': ['APT41', 'MISSION2025/APT41', 'APT10'], 'malware': [], 'cves': ['CVE-2021-36260'], 'sectors': ['Video surveillance'], 'regions': ['Russia', 'China'], 'mitre': []}","{'from': None, 'to': None}",medium
6,"Which ransomware gang leveraged a remote code execution flaw in GoAnywhere MFT, and what was the described impact on victim organizations?",True,"The Clop ransomware gang is described as leveraging a critical remote code execution flaw in GoAnywhere MFT (CVE-2023-0669). The impacts described include widespread data theft, data leaks, reputational damage, and operational disruptions affecting organizations worldwide.","[{'source_id': 'CTI_TEXT_3', 'page': 1, 'quote': 'the Clop ransomware gang had breached 130 companies... leveraging a critical remote code execution flaw in GoAnywhere MFT... CVE-2023-0669... widespread data theft attacks... causing data leaks, reputational damage, and operational disruptions.'}]","{'actors': ['Clop'], 'malware': ['Clop ransomware'], 'cves': ['CVE-2023-0669'], 'sectors': [], 'regions': ['Worldwide'], 'mitre': []}","{'from': '2023-01-18', 'to': '2023-02-06'}",high
7,Which named victim organizations are associated with the GoAnywhere MFT compromise campaign attributed to Clop?,True,"The text lists Crown Resorts, CHS, Hatch Bank, Rubrik, the City of Toronto, Hitachi Energy, Procter & Gamble, and Saks Fifth Avenue as notable victims of the GoAnywhere MFT-related attacks attributed to Clop.","[{'source_id': 'CTI_TEXT_3', 'page': 1, 'quote': 'Some notable victims... include Crown Resorts, CHS, Hatch Bank, Rubrik, the City of Toronto, Hitachi Energy, Procter & Gamble, and Saks Fifth Avenue.'}]","{'actors': ['Clop'], 'malware': ['Clop ransomware'], 'cves': ['CVE-2023-0669'], 'sectors': [], 'regions': [], 'mitre': []}","{'from': None, 'to': None}",high
8,What is the described exploitation timeline from zero-day use through vendor discovery and patch release for CVE-2023-0669 in GoAnywhere MFT?,True,"The text states CVE-2023-0669 was exploited as a zero-day starting on 2023-01-18, Fortra discovered exploitation on 2023-02-03, and patches were released three days later (2023-02-06).","[{'source_id': 'CTI_TEXT_3', 'page': 1, 'quote': 'had been exploited as a zero-day vulnerability since January 18, 2023. Fortra discovered its exploitation on February 3, 2023, and released patches three days later.'}]","{'actors': ['Clop'], 'malware': [], 'cves': ['CVE-2023-0669'], 'sectors': ['Managed file transfer'], 'regions': [], 'mitre': []}","{'from': '2023-01-18', 'to': '2023-02-06'}",high
9,"Which malware loader is described as delivering Formbook and XLoader, and what initial access vector is explicitly described?",True,JinxLoader is described as delivering next-stage payloads such as Formbook and XLoader. The initial access vector described is phishing emails impersonating Abu Dhabi National Oil Company (ADNOC) that urge recipients to open password-protected RAR archive attachments.,"[{'source_id': 'CTI_TEXT_4', 'page': 1, 'quote': 'A new Go-based malware loader called JinxLoader is being used... to deliver... Formbook... XLoader. The attacks begin with phishing emails impersonating Abu Dhabi National Oil Company (ADNOC), urging recipients to open password-protected RAR archive attachments'}]","{'actors': [], 'malware': ['JinxLoader', 'Formbook', 'XLoader'], 'cves': [], 'sectors': ['Energy'], 'regions': ['Abu Dhabi'], 'mitre': []}","{'from': None, 'to': None}",high
10,"In the described JinxLoader infection chain, what intermediate artifact is dropped and what role does it play before delivering the next-stage payload?",True,"The text describes that opening the password-protected RAR attachment results in dropping the JinxLoader executable, which then acts as a gateway for Formbook or XLoader.","[{'source_id': 'CTI_TEXT_4', 'page': 1, 'quote': 'upon opening, drop the JinxLoader executable, which subsequently acts as a gateway for Formbook or XLoader.'}]","{'actors': [], 'malware': ['JinxLoader', 'Formbook', 'XLoader'], 'cves': [], 'sectors': [], 'regions': [], 'mitre': []}","{'from': None, 'to': None}",high
