q_id,category,system,question,gold_answer,prediction,Exact,Strict-Exact,F1,BLEU,ROUGE1,ROUGEL,BERT-F1,Halluc-Prec,Unknown,Answered,time_sec
1,simple,RAG,What publisher is listed for source microsoft-ti-ms-appinstaller-2023-11?,Microsoft Threat Intelligence,I don't know. The provided context does not explicitly state the publisher for source microsoft-ti-ms-appinstaller-2023-11.,0.0,0.0,0.0,0.0,0.08333333333333333,0.08333333333333333,0.7947826981544495,0.0,0.0,1.0,3.6690104799345136
1,simple,GRAG,What publisher is listed for source microsoft-ti-ms-appinstaller-2023-11?,Microsoft Threat Intelligence,Microsoft Threat Intelligence,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,15.542650665156543
1,simple,AGRAG,What publisher is listed for source microsoft-ti-ms-appinstaller-2023-11?,Microsoft Threat Intelligence,Microsoft Threat Intelligence,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,13.524299927055836
1,simple,HRAG,What publisher is listed for source microsoft-ti-ms-appinstaller-2023-11?,Microsoft Threat Intelligence,Microsoft Threat Intelligence,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,8.581875777803361
2,simple,RAG,What publication date is set for source microsoft-ti-ms-appinstaller-2023-11?,2023-11-01,"The context does not specify a publication date for the source. It only mentions that threat actor activity was observed ""Since mid-November 2023."" The date ""2023-11"" in the source name appears to reference when the activity occurred, not necessarily when the report was published.",0.0,0.0,0.0,2.5073763568333933,0.08163265306122448,0.08163265306122448,0.79570072889328,0.0,0.0,1.0,6.7372236447408795
2,simple,GRAG,What publication date is set for source microsoft-ti-ms-appinstaller-2023-11?,2023-11-01,"November 1, 2023",0.0,0.0,0.0,12.44023474812678,0.3333333333333333,0.3333333333333333,0.810830295085907,0.0,0.0,1.0,13.761145632714033
2,simple,AGRAG,What publication date is set for source microsoft-ti-ms-appinstaller-2023-11?,2023-11-01,2023-11-01,1.0,1.0,1.0,100.00000000000004,1.0,1.0,0.9999998211860657,1.0,0.0,1.0,5.185739495791495
2,simple,HRAG,What publication date is set for source microsoft-ti-ms-appinstaller-2023-11?,2023-11-01,2023-11-01,1.0,1.0,1.0,100.00000000000004,1.0,1.0,0.9999998211860657,1.0,0.0,1.0,14.064878641627729
3,simple,RAG,What is the incident type for microsoft-ti-ms-appinstaller-mid-nov-2023?,intrusion,Malware distribution via abuse of the App Installer ms-appinstaller URI scheme.,0.0,0.0,0.0,0.0,0.0,0.0,0.8017821907997131,0.0,0.0,1.0,4.929754146374762
3,simple,GRAG,What is the incident type for microsoft-ti-ms-appinstaller-mid-nov-2023?,intrusion,A threat campaign involving the abuse of MSIX App Installer for malware distribution.,0.0,0.0,0.0,0.0,0.0,0.0,0.8344863653182983,0.0,0.0,1.0,19.42146305926144
3,simple,AGRAG,What is the incident type for microsoft-ti-ms-appinstaller-mid-nov-2023?,intrusion,intrusion,1.0,1.0,1.0,0.0,1.0,1.0,1.0000001192092896,1.0,0.0,1.0,4.123258453793824
