id,category,question,answerable,answer,confidence,evidence,normalized_entities
1,simple,What is the type of incident whatsapp-phishing-banking-trojan-telemetry?,True,intrusion,,,
2,simple,What country ISO2 is stored for victim Bank customers (India)?,True,IN,,,
3,simple,What sector is stored for victim Bank customers (India)?,True,Finance,,,
4,simple,What is the name property of Country node with iso2 IN?,True,India,,,
5,simple,What family is set for malware Fake bank KYC APK banking trojan?,True,Banking trojan,,,
6,simple,What service value identifies the SMS exfiltration C2 infrastructure?,True,SMS exfiltration (hard-coded phone number),,,
7,simple,What technique tactic is stored for technique T1566?,True,Initial Access,,,
8,simple,What family is stored for malware Androxgh0st?,True,Androxgh0st,,,
9,simple,What is the CVE published_date for CVE-2022-0543?,True,2022-01-01,,,
10,simple,What type is incident unit42-p2pinfect-2023-07-11?,True,worm,,,
11,simple,What is the motivation value stored for threat actor BlackCat?,True,financial,,,
12,simple,What family is stored for malware Predator?,True,Spyware,,,
13,simple,What sponsor value is stored for threat actor Intellexa?,True,Commercial surveillance vendor,,,
14,simple,What is the date of incident INC-CVE-2023-36884-STORM-0978?,True,2023-01-01,,,
15,simple,What motivation is stored for threat actor UNC3886?,True,espionage,,,
16,single_hop,Which country is victim Bank customers (India) located in?,True,India,,,
17,single_hop,Which victim is targeted by campaign WhatsApp phishing campaign?,True,Bank customers (India),,,
18,single_hop,Which sector node is targeted by incident whatsapp-phishing-banking-trojan-telemetry?,True,Finance,,,
19,single_hop,Which tool is involved in incident whatsapp-phishing-banking-trojan-telemetry?,True,WhatsApp,,,
20,single_hop,Which malware is involved in incident whatsapp-phishing-banking-trojan-telemetry?,True,Fake bank KYC APK banking trojan,,,
21,single_hop,Which C2 services are abused by Fake bank KYC APK banking trojan?,True,"C2 server, SMS exfiltration (hard-coded phone number)",,,
22,single_hop,Which CVEs are exploited by malware Androxgh0st?,True,"CVE-2017-9841, CVE-2021-41773, CVE-2018-15133",,,
23,single_hop,Which techniques does malware Androxgh0st use?,True,"T1552.001, T1098, T1505.003",,,
24,single_hop,Which tool does malware Androxgh0st use for protocol abuse?,True,SMTP,,,
25,single_hop,Which CVE is exploited by malware P2PInfect?,True,CVE-2022-0543,,,
26,single_hop,Which victim is targeted by incident unit42-p2pinfect-2023-07-11?,True,Redis instances,,,
27,single_hop,Which malware is used by threat actor Ragnar Locker?,True,Ragnar Locker,,,
28,single_hop,Which CVE is exploited by malware Ragnar Locker?,True,CVE-2017-0213,,,
29,single_hop,Which mitigation mitigates incident google-tag-citizenlab-iphone-0day-predator?,True,Patch iOS to iOS 16.7 / iOS 17.0.1,,,
30,single_hop,Which CVE is mitigated by Office Defense in Depth update?,True,CVE-2023-36884,,,
31,multi_hop,How many techniques are linked to incident jupyter_variant_increase_since_2020_observed_late_october?,True,4,,,
32,multi_hop,What tactics appear among techniques used by the Jupyter variant incident?,True,"Execution, Defense Evasion, Command and Control",,,
33,multi_hop,Which sources support the malware Jupyter?,True,"VMware Carbon Black, Morphisec, BlackBerry",,,
34,multi_hop,Which technique IDs are used by malware involved in the Jupyter variant incident?,True,T1059.001,,,
35,multi_hop,How many CVEs are exploited by Androxgh0st and supported by its CISA/FBI source?,True,3,,,
36,multi_hop,Which CVEs are exploited by Androxgh0st and supported by the same source?,True,"CVE-2017-9841, CVE-2021-41773, CVE-2018-15133",,,
37,multi_hop,How many techniques does Ragnar Locker profile incident use?,True,5,,,
38,multi_hop,Which technique tactics are included in Ragnar Locker profile incident?,True,"Initial Access, Credential Access, Defense Evasion, Exfiltration",,,
39,multi_hop,How many incidents are attributed to threat actor Akira?,True,2,,,
40,multi_hop,List incident dates attributed to Akira in the dataset.,True,"2023-08-01, 2023-09-06",,,
41,multi_hop,Which C2 service is abused by both Megazord malware and its incident?,True,TOX messenger,,,
42,multi_hop,How many distinct techniques are used by threat actor BlackCat?,True,3,,,
43,multi_hop,Which technique IDs are used by threat actor BlackCat?,True,"T1021, T1135, T1105",,,
44,multi_hop,Which malware is propagated by Munchkin and used by threat actor BlackCat?,True,BlackCat,,,
45,multi_hop,How many CVEs are exploited in incident google-tag-citizenlab-iphone-0day-predator?,True,3,,,
46,unanswerable,What phone number is hard-coded for SMS exfiltration in the WhatsApp phishing case?,False,,,,
47,unanswerable,What file hash identifies the Fake bank KYC APK banking trojan sample?,False,,,,
48,unanswerable,Which organizations were victimized by the Akira incident on 2023-09-06?,False,,,,
49,unanswerable,What CVSS score is assigned to CVE-2023-34048 in this graph?,False,,,,
50,unanswerable,What is the detection timestamp for the first observed Kasseika ransomware event?,False,,,,
1,guided,"Which malware families are explicitly described as stealing credentials or confidential data, and what specific data types do they target?",True,"Credential/confidential-data theft is explicitly described for multiple malware families. Androxgh0st targets Laravel .env files to steal confidential information such as cloud and SaaS credentials (AWS, Microsoft Office 365, SendGrid, Twilio) and can also scan/exploit exposed SMTP credentials and APIs. Jupyter (Yellow Cockatoo/Solarmarker/Polazert) is described harvesting credential material including browser password-manager data, cookies, and logins for crypto-wallets and remote access applications. A WhatsApp-delivered malicious banking APK impersonates a bank KYC app to trick users into submitting sensitive information, which is then sent to a C2 server and the attacker’s hard-coded phone number.",high,"[{'source_id': 'CTI_TEXTS-2', 'page': 1, 'quote': 'Androxgh0st is ... used to target .env files that contain confidential information, such as credentials ... i.e., Amazon Web Services [AWS], Microsoft Office 365, SendGrid, and Twilio'}, {'source_id': 'CTI_TEXTS-4', 'page': 1, 'quote': 'harvest a variety of credential information ... cookies, Web data, browser password manager information ... such as logins for crypto-wallets and remote access apps'}, {'source_id': 'CTI_TEXTS-1', 'page': 1, 'quote': ""disguises itself as the bank's official Know Your Customer (KYC) application to trick users into submitting their sensitive information""}]","{'actors': [], 'malware': ['Androxgh0st', 'Jupyter', 'Banking Trojan APK (malicious KYC app)'], 'cves': [], 'sectors': ['Banking'], 'regions': ['India'], 'mitre': []}"
2,guided,"Which vulnerabilities (CVEs) are directly linked to botnet or worm activity, and what platforms or device types are impacted?",True,"Two CVEs are directly tied to botnet/worm activity in the provided texts. Androxgh0st is reported as building a botnet and scanning for RCE vulnerabilities CVE-2017-9841 (PHPUnit), CVE-2021-41773 (Apache HTTP Server), and CVE-2018-15133 (Laravel). Separately, the P2PInfect worm targets Redis and exploits CVE-2022-0543 (Lua sandbox escape) and is described as cross-platform, affecting Redis instances on Linux and Windows.",high,"[{'source_id': 'CTI_TEXTS-2', 'page': 1, 'quote': 'threat actors using Androxgh0st malware are building a botnet ... It scans for websites and servers vulnerable to ... CVE-2017-9841 ... CVE-2021-41773 ... CVE-2018-15133'}, {'source_id': 'CTI_TEXTS-8', 'page': 1, 'quote': 'a new peer-to-peer (P2P) worm ... targets Redis ... infects vulnerable Redis instances by exploiting ... CVE-2022-0543 ... Redis instances can be run on both Linux and Windows'}]","{'actors': [], 'malware': ['Androxgh0st', 'P2PInfect'], 'cves': ['CVE-2017-9841', 'CVE-2021-41773', 'CVE-2018-15133', 'CVE-2022-0543'], 'sectors': [], 'regions': [], 'mitre': []}"
3,guided,"For ransomware groups described, what initial access methods are mentioned, and which vulnerabilities are used for privilege escalation or defense evasion?",True,"Ragnar Locker is described as initiating attacks via exposed RDP service using brute force password guessing or stolen credentials purchased on the dark web, then elevating privileges by exploiting CVE-2017-0213 (Windows COM Aggregate Marshaler). Kasseika is described as starting with phishing emails to steal account credentials for initial access and then using BYOVD tactics (abusing a vulnerable driver, Martini.sys/viragt64.sys) to disable antivirus before encryption.",high,"[{'source_id': 'CTI_TEXTS-5', 'page': 1, 'quote': 'initiates their attacks by compromising ... through RDP service - using brute force ... or using stolen credentials purchased on the dark web ... elevates their privileges by exploiting CVE-2017-0213'}, {'source_id': 'CTI_TEXTS-12', 'page': 1, 'quote': 'Kasseika attacks start with a phishing email ... steal their account credentials, which will then be used for initial access ... employs Bring Your Own Vulnerable Driver (BYOVD) tactics to disable antivirus'}]","{'actors': ['Ragnar Locker', 'Kasseika'], 'malware': ['Ragnar Locker', 'Kasseika'], 'cves': ['CVE-2017-0213'], 'sectors': [], 'regions': [], 'mitre': []}"
4,guided,"Which ransomware or extortion operations explicitly describe data exfiltration as part of their extortion model, and what is the sequencing of actions described?",True,"Ragnar Locker is explicitly described as using double extortion: exfiltrating sensitive data, triggering encryption, then threatening to leak data if ransom is not paid. Androxgh0st is not described as ransomware, but it does describe credential theft leading to delivery of additional payloads; the explicit exfiltration+encryption extortion sequence is only described for Ragnar Locker in the provided texts.",high,"[{'source_id': 'CTI_TEXTS-5', 'page': 1, 'quote': 'double extortion tactic, which involves threat actors exfiltrating sensitive data, then triggering the encryption attack, and ultimately threatening to leak the data'}]","{'actors': ['Ragnar Locker'], 'malware': ['Ragnar Locker'], 'cves': [], 'sectors': [], 'regions': [], 'mitre': []}"
5,guided,"Which malware is described as enabling follow-on payload delivery using stolen credentials, and which third-party services are explicitly mentioned as credential targets that could enable impersonation or spam?",True,"Androxgh0st is described as building a botnet focused on cloud credential theft and using stolen information to deliver additional malicious payloads. It targets credentials including AWS, Microsoft Office 365, SendGrid, and Twilio; stolen Twilio and SendGrid credentials are explicitly described as usable to conduct spam campaigns impersonating breached companies.",high,"[{'source_id': 'CTI_TEXTS-2', 'page': 1, 'quote': 'building a botnet focused on cloud credential theft and using the stolen information to deliver additional malicious payloads'}, {'source_id': 'CTI_TEXTS-2', 'page': 1, 'quote': 'credentials ... Amazon Web Services [AWS], Microsoft Office 365, SendGrid, and Twilio ... Stolen Twilio and SendGrid credentials can be used ... to conduct spam campaigns impersonating the breached companies'}]","{'actors': [], 'malware': ['Androxgh0st'], 'cves': ['CVE-2017-9841', 'CVE-2021-41773', 'CVE-2018-15133'], 'sectors': [], 'regions': [], 'mitre': []}"
6,guided,"Which malware or spyware is described as being installed surreptitiously via a zero-day exploit chain, and which CVEs are associated with the patched issues?",True,"Predator spyware (from Intellexa) is described as being installed surreptitiously onto iPhones using an in-the-wild zero-day exploit chain. The patched issues are associated with CVE-2023-41991, CVE-2023-41992, and CVE-2023-41993.",high,"[{'source_id': 'CTI_TEXTS-7', 'page': 1, 'quote': 'discovered an in-the-wild 0-day exploit chain for iPhones ... used to install its Predator spyware surreptitiously ... Apple patched ... as CVE-2023-41991, CVE-2023-41992, CVE-2023-41993'}]","{'actors': ['Intellexa'], 'malware': ['Predator'], 'cves': ['CVE-2023-41991', 'CVE-2023-41992', 'CVE-2023-41993'], 'sectors': [], 'regions': [], 'mitre': []}"
7,guided,"Which actor is described as actively exploiting a Microsoft Office remote code execution vulnerability that bypassed Mark-of-the-Web, and what ransomware branding is associated with that actor?",True,"The Russian threat actor Storm-0978/RomCom is described as actively exploiting CVE-2023-36884, which allowed crafting Microsoft Office documents to bypass Mark of the Web and enable remote code execution. The same text notes the group was previously recognized for deploying Industrial Spy ransomware and has rebranded as 'Underground' for extortion via ransomware operations.",high,"[{'source_id': 'CTI_TEXTS-9', 'page': 1, 'quote': ""The Russian threat actor Storm-0978/RomCom is responsible for actively exploiting this vulnerability ... previously recognized for deploying the Industrial Spy ransomware ... rebranded as 'Underground'""}]","{'actors': ['Storm-0978', 'RomCom'], 'malware': ['Industrial Spy'], 'cves': ['CVE-2023-36884'], 'sectors': [], 'regions': ['Russia'], 'mitre': []}"
8,guided,"Which ransomware operators are described as exploiting a VPN-related zero-day vulnerability to obtain or identify valid credentials for unauthorized remote access sessions, and what products are affected?",True,"Akira ransomware operators are described as exploiting CVE-2023-20269, a zero-day in Cisco ASA and Cisco Firepower Threat Defense (FTD) remote access VPN functionality. Exploitation is described as allowing identification of valid credentials that could be abused to establish unauthorized remote access VPN sessions (and, for some ASA versions, establishing a clientless SSL VPN session).",high,"[{'source_id': 'CTI_TEXTS-6', 'page': 1, 'quote': 'Akira ransomware operators exploited CVE-2023-20269 ... in ... Cisco Adaptive Security Appliance (ASA) ... Cisco Firepower Thread Defense (FTD) ... can identify valid credentials ... establish unauthorized remote access VPN sessions'}]","{'actors': ['Akira'], 'malware': ['Akira'], 'cves': ['CVE-2023-20269'], 'sectors': [], 'regions': [], 'mitre': []}"
9,guided,Which malware is described as harvesting browser data and also enabling command-and-control and secondary malware delivery capabilities?,True,"Jupyter (also tracked as Yellow Cockatoo, Solarmarker, and Polazert) is described as harvesting browser credential material (cookies, Web data, browser password manager information) and as capable of functioning as a backdoor with command-and-control communications, acting as a dropper/loader for other malware, and executing PowerShell scripts/commands.",high,"[{'source_id': 'CTI_TEXTS-4', 'page': 1, 'quote': 'harvest ... cookies, Web data, browser password manager information'}, {'source_id': 'CTI_TEXTS-4', 'page': 1, 'quote': 'capable of functioning as a full-fledged backdoor ... support for command and control (C2) communications, acting as a dropper and loader for other malware'}]","{'actors': [], 'malware': ['Jupyter', 'Yellow Cockatoo', 'Solarmarker', 'Polazert'], 'cves': [], 'sectors': [], 'regions': [], 'mitre': []}"
10,guided,"Which vulnerabilities are described as enabling data recovery from local memory on GPUs, and what kinds of sensitive data can be recovered?",True,"LeftoverLocals (CVE-2023-4969) is described as enabling attackers to retrieve data from uninitialized local GPU memory, with a particular emphasis on large language model and machine learning contexts. The recovered data can reveal sensitive information including model inputs, outputs, weights, and intermediate computations.",high,"[{'source_id': 'CTI_TEXTS-3', 'page': 1, 'quote': 'Tracked as CVE-2023-4969 ... allows retrieving data from the local memory space ... recovered data can reveal ... model inputs, outputs, weights, and intermediate computations'}]","{'actors': [], 'malware': [], 'cves': ['CVE-2023-4969'], 'sectors': [], 'regions': [], 'mitre': []}"
11,guided,"Which malware campaigns explicitly use messaging or social platforms to distribute a malicious mobile application, and what data exfiltration destinations are described?",True,A WhatsApp phishing campaign is described distributing a malicious APK. The fraudulent bank-impersonating app collects sensitive information and sends it to a command-and-control (C2) server and also to the attacker’s hard-coded phone number via SMS functionality.,high,"[{'source_id': 'CTI_TEXTS-1', 'page': 1, 'quote': 'shares a malicious APK file through WhatsApp ... installs a fraudulent application'}, {'source_id': 'CTI_TEXTS-1', 'page': 1, 'quote': ""This information is then sent to a command and control (C2) server, as well as to the attacker's hard-coded phone number used in SMS functionality""}]","{'actors': [], 'malware': ['Banking Trojan APK (malicious KYC app)'], 'cves': [], 'sectors': ['Banking'], 'regions': ['India'], 'mitre': []}"
