id,question,answerable,answer,evidence,normalized_entities,timeframe,confidence
1,"Which distinct threat actors are linked to spear-phishing as an initial access method, and what malware/tools are delivered via that method?",True,"Kimsuky (a North Korea-affiliated nation-state actor) is linked to spear-phishing, delivering backdoors/tools including AppleSeed, Meterpreter, and TinyNuke. This is described as an espionage campaign executed through spear-phishing lure documents that deploy multiple malware families.","[{'source_id': 'CTI_TEXTS_3', 'page': 1, 'quote': 'Nation-state actors affiliated to North Korea have been observed using spear-phishing attacks to deliver an assortment of backdoors and tools such as AppleSeed, Meterpreter, and TinyNuke'}, {'source_id': 'CTI_TEXTS_3', 'page': 1, 'quote': ""The threat actor's espionage campaigns are realized through spear-phishing attacks containing malicious lure documents""}]","{'actors': ['Kimsuky'], 'malware': ['AppleSeed', 'Meterpreter', 'TinyNuke'], 'cves': [], 'sectors': [], 'regions': ['North Korea', 'South Korea'], 'mitre': []}","{'from': None, 'to': None}",high
2,"Which vulnerability is described as being exploited as a former zero-day to steal email data and credentials, and what type of vulnerability is it?",True,"CVE-2023-37580 in Zimbra Collaboration Suite is described as a former zero-day used to steal email data, user credentials, and authentication tokens. It is a reflected cross-site scripting (XSS) vulnerability in the Zimbra email server.","[{'source_id': 'CTI_TEXTS_1', 'page': 1, 'quote': 'used a former zero-day security vulnerability in the Zimbra Collaboration Suite (ZCS) to steal email data, user credentials, and authentication tokens'}, {'source_id': 'CTI_TEXTS_1', 'page': 1, 'quote': 'The bug (CVE-2023-37580) is a reflected cross-site scripting (XSS) vulnerability'}]","{'actors': [], 'malware': [], 'cves': ['CVE-2023-37580'], 'sectors': ['Government'], 'regions': ['Global'], 'mitre': []}","{'from': None, 'to': None}",high
3,"Which ransomware group is associated with a utility that propagates payloads to remote machines, and what delivery mechanism is described as helping bypass security solutions?",True,"BlackCat ransomware operators are associated with a utility called Munchkin that propagates the BlackCat payload to remote machines and shares. The described bypass-enabling mechanism is leveraging a customized Alpine virtual machine (VM) to deploy malware, a tactic used to circumvent security solutions.","[{'source_id': 'CTI_TEXTS_2', 'page': 1, 'quote': 'including a utility called Munchkin that allows attackers to propagate the BlackCat payload to remote machines and shares on a victim organization network'}, {'source_id': 'CTI_TEXTS_2', 'page': 1, 'quote': 'leveraging a customized VM to deploy malware has been gaining traction... allowing ransomware threat actors to use VMs to circumvent security solutions'}]","{'actors': ['BlackCat'], 'malware': ['Munchkin', 'BlackCat ransomware'], 'cves': [], 'sectors': [], 'regions': [], 'mitre': []}","{'from': None, 'to': None}",high
4,"Which threat actors are reported to abuse the ms-appinstaller URI scheme to distribute malware, and what follow-on impact is explicitly noted?",True,"Microsoft reports multiple actors—including Storm-0569, Storm-1113, Sangria Tempest, and Storm-1674—abusing the ms-appinstaller URI scheme to distribute malware. The follow-on impact explicitly noted is that it may lead to ransomware distribution.","[{'source_id': 'CTI_TEXTS_5', 'page': 1, 'quote': 'observed threat actors, including financially motivated actors like Storm-0569, Storm-1113, Sangria Tempest, and Storm-1674, utilizing the ms-appinstaller URI scheme'}, {'source_id': 'CTI_TEXTS_5', 'page': 1, 'quote': 'as an access vector for malware that may lead to ransomware distribution'}]","{'actors': ['Storm-0569', 'Storm-1113', 'Sangria Tempest', 'Storm-1674'], 'malware': [], 'cves': [], 'sectors': [], 'regions': [], 'mitre': []}","{'from': '2023-11-15', 'to': None}",high
5,"Which actor is associated with DNS hijacking to harvest credentials by redirecting domain queries to an actor-controlled server, and what region is highlighted for its targeting?",True,Sea Turtle is associated with DNS hijacking that redirects targets querying a specific domain to an actor-controlled server to harvest credentials. The highlighted targeting region is the Middle East and North Africa.,"[{'source_id': 'CTI_TEXTS_7', 'page': 1, 'quote': 'state-sponsored attacks targeting public and private entities in the Middle East and North Africa'}, {'source_id': 'CTI_TEXTS_7', 'page': 1, 'quote': 'primarily leveraging DNS hijacking to redirect prospective targets attempting to query a specific domain to an actor-controlled server capable of harvesting their credentials'}]","{'actors': ['Sea Turtle'], 'malware': [], 'cves': [], 'sectors': [], 'regions': ['Middle East', 'North Africa'], 'mitre': []}","{'from': '2017-01-01', 'to': None}",high
6,"Which actor is linked to a Linux/Unix reverse TCP shell used for persistence, and what is the tool name?",True,"Sea Turtle is linked to using a Linux/Unix reverse TCP shell called SnappyTCP, which is described as likely used for establishing persistence.","[{'source_id': 'CTI_TEXTS_7', 'page': 1, 'quote': 'using a simple reverse TCP shell for Linux (and Unix) systems called SnappyTCP'}, {'source_id': 'CTI_TEXTS_7', 'page': 1, 'quote': 'also likely used for establishing persistence'}]","{'actors': ['Sea Turtle'], 'malware': ['SnappyTCP'], 'cves': [], 'sectors': [], 'regions': [], 'mitre': []}","{'from': '2021-01-01', 'to': '2023-12-31'}",high
7,"Which named victim organizations are explicitly listed as Zimbra Collaboration Suite users, and what countries are they associated with?",True,The text lists Japan Advanced Institute of Science and Technology (Japan) and Max Planck Institute (Germany) as Zimbra Collaboration Suite client organizations. It also lists Gunung Sewu as a top business incubator in Southeast Asia (region-level association rather than a specific country).,"[{'source_id': 'CTI_TEXTS_1', 'page': 1, 'quote': ""as diverse as the Japan Advanced Institute of Science and Technology, Germany's Max Planck Institute, and Gunung Sewu, a top business incubator in Southeast Asia""}]","{'actors': [], 'malware': [], 'cves': [], 'sectors': [], 'regions': ['Japan', 'Germany', 'Southeast Asia'], 'mitre': []}","{'from': None, 'to': None}",medium
8,"Which entities are targeted globally in the described exploitation of a Zimbra vulnerability, and what types of data are stolen?",True,"Government organizations globally are targeted in the described exploitation of the Zimbra vulnerability, with theft of email data, user credentials, and authentication tokens.","[{'source_id': 'CTI_TEXTS_1', 'page': 1, 'quote': 'to steal email data, user credentials, and authentication tokens from government organizations globally'}]","{'actors': [], 'malware': [], 'cves': ['CVE-2023-37580'], 'sectors': ['Government'], 'regions': ['Global'], 'mitre': []}","{'from': None, 'to': None}",high
9,"Which threat actors are reported to use malicious advertisements as a malware distribution vector, and what additional distribution method is described for one ransomware operation?",True,"Royal ransomware campaigns are reported to distribute malware via malicious advertisements, and also via malicious attachments. Separately, multiple threat actors abusing ms-appinstaller distribute signed malicious MSIX packages using websites accessed through malicious advertisements for legitimate popular software.","[{'source_id': 'CTI_TEXTS_4', 'page': 1, 'quote': 'Some Royal ransomware campaigns distribute the malware via malicious attachments, and some distribute the malware via malicious advertisements.'}, {'source_id': 'CTI_TEXTS_5', 'page': 1, 'quote': 'distribute signed malicious MSIX application packages using websites accessed through malicious advertisements for legitimate popular software'}]","{'actors': ['Royal', 'Storm-0569', 'Storm-1113', 'Sangria Tempest', 'Storm-1674'], 'malware': ['Royal ransomware'], 'cves': [], 'sectors': [], 'regions': [], 'mitre': []}","{'from': '2022-01-01', 'to': None}",medium
10,"Which actor is reported to use phishing through Microsoft Teams as a vector, and which access vector is described as being disabled by default in response to observed activity?",True,Storm-1674 is reported to use phishing through Microsoft Teams as a second vector. Microsoft disabled the ms-appinstaller protocol handler by default in response to observed activity abusing it as an access vector.,"[{'source_id': 'CTI_TEXTS_5', 'page': 1, 'quote': 'A second vector of phishing through Microsoft Teams is also in use by Storm-1674.'}, {'source_id': 'CTI_TEXTS_5', 'page': 1, 'quote': 'Microsoft has disabled the ms-appinstaller protocol handler by default.'}]","{'actors': ['Storm-1674'], 'malware': [], 'cves': [], 'sectors': [], 'regions': [], 'mitre': []}","{'from': '2023-11-15', 'to': None}",high
11,"Which ransomware operation is described as reusing another ransomware group's encryptor, and which other ransomware family is referenced?",True,"The Royal ransomware operation is described as using other ransomware operation's encryptors, including BlackCat.","[{'source_id': 'CTI_TEXTS_4', 'page': 1, 'quote': ""utilizing other ransomware operation's encryptors, such as BlackCat""}]","{'actors': ['Royal', 'BlackCat'], 'malware': ['Royal ransomware', 'BlackCat ransomware'], 'cves': [], 'sectors': [], 'regions': [], 'mitre': []}","{'from': '2022-09-01', 'to': None}",high
