q_id,category,system,question,gold_answer,prediction,Exact,Strict-Exact,F1,BLEU,ROUGE1,ROUGEL,BERT-F1,Halluc-Prec,Unknown,Answered,time_sec
1,simple,RAG,What sponsor value is set for Sea Turtle?,state-sponsored,I don't know. The provided context does not include information about the sponsor value for Sea Turtle.,0.0,0.0,0.0,0.0,0.0,0.0,0.8350589275360107,0.0,0.0,1.0,0.9628739403560758
1,simple,GRAG,What sponsor value is set for Sea Turtle?,state-sponsored,I regret to inform you that I cannot provide an answer to your question since the database does not contain any information related to CTI and the sponsor value for Sea Turtle. I hope you can ask about something else that I can assist you with. Thank you for understanding.,0.0,0.0,0.0,0.0,0.0,0.0,0.8111094832420349,0.0,0.0,1.0,1.9121108381077647
1,simple,AGRAG,What sponsor value is set for Sea Turtle?,state-sponsored,state-sponsored,1.0,1.0,1.0,0.0,1.0,1.0,0.9999999403953552,1.0,0.0,1.0,8.32129345368594
1,simple,HRAG,What sponsor value is set for Sea Turtle?,state-sponsored," Cisco Talos, referred to in the document snippets as a source or publisher, is the sponsor value set for the Sea Turtle threat actor.",0.0,0.0,0.0,0.0,0.0,0.0,0.816917359828949,0.0,0.0,1.0,10.161060462705791
2,simple,RAG,What date is stored for incident blackcat-observed-2021-11?,2021-11-01,"The context does not provide the specific date for the incident ""blackcat-observed-2021-11"".",0.0,0.0,0.0,4.5739135561238005,0.2222222222222222,0.2222222222222222,0.7761557698249817,0.0,0.0,1.0,1.0450128521770239
2,simple,GRAG,What date is stored for incident blackcat-observed-2021-11?,2021-11-01,"I regret to inform you that I cannot provide an answer to your question, as the incident ""blackcat-observed-2021-11"" is not related to CTI (Cyber Threat Intelligence) or any other incident data in my knowledgebase. Therefore, I have no date stored for this incident. I hope this clarifies the situation, and I remain available to assist you with other questions you might have.",0.0,0.0,0.0,0.9754356991343187,0.05882352941176471,0.05882352941176471,0.7851678729057312,0.0,0.0,1.0,2.3154938397929072
2,simple,AGRAG,What date is stored for incident blackcat-observed-2021-11?,2021-11-01,2021-11-01,1.0,1.0,1.0,100.00000000000004,1.0,1.0,1.0000001192092896,1.0,0.0,1.0,3.6227253014221787
2,simple,HRAG,What date is stored for incident blackcat-observed-2021-11?,2021-11-01, 2021-11-01,1.0,1.0,1.0,100.00000000000004,1.0,1.0,1.0000001192092896,1.0,0.0,1.0,8.4279665928334
3,simple,RAG,What type is set for incident INC-CVE-2023-7028-GITLAB-EXPOSED?,vulnerability_exposure,The context does not provide information about the type set for the incident INC-CVE-2023-7028-GITLAB-EXPOSED.,0.0,0.0,0.0,0.0,0.0,0.0,0.8121523857116699,0.0,0.0,1.0,1.4482642682269216
3,simple,GRAG,What type is set for incident INC-CVE-2023-7028-GITLAB-EXPOSED?,vulnerability_exposure,"I am unable to provide an answer to your question as the incident you're referring to, INC-CVE-2023-7028-GITLAB-EXPOSED, is not related to CTI (Cyber Threat Intelligence). My apologies for any inconvenience.",0.0,0.0,0.0,0.0,0.0,0.0,0.8076947927474976,0.0,0.0,1.0,1.8718377389013767
3,simple,AGRAG,What type is set for incident INC-CVE-2023-7028-GITLAB-EXPOSED?,vulnerability_exposure,The type is vulnerability_exposure.,1.0,0.0,0.0,24.446151121745054,0.5714285714285715,0.5714285714285715,0.9000388383865356,0.0,0.0,1.0,4.344894024543464
3,simple,HRAG,What type is set for incident INC-CVE-2023-7028-GITLAB-EXPOSED?,vulnerability_exposure," The type for incident INC-CVE-2023-7028-GITLAB-EXPOSED is ""vulnerability_exposure"".",1.0,0.0,0.0,9.103526405546068,0.2666666666666667,0.2666666666666667,0.8339396715164185,0.0,0.0,1.0,8.359038485214114
4,simple,RAG,What tactic is recorded for technique T1486?,Impact,"The tactic for technique T1486, based on the provided context, is likely ""Initial Access"" through ""Phishing"" or ""Spear Phishing"" attacks, as the context mentions a malicious JPG file used in the operation. However, the exact tactic is not explicitly stated in the context.",0.0,0.0,0.0,0.0,0.0,0.0,0.7912998199462891,0.0,0.0,1.0,1.7872644988819957
4,simple,GRAG,What tactic is recorded for technique T1486?,Impact,"Based on the information retrieved from the database, there is no tactic recorded for technique T1486.",0.0,0.0,0.0,0.0,0.0,0.0,0.817375659942627,0.0,0.0,1.0,6.750479416921735
4,simple,AGRAG,What tactic is recorded for technique T1486?,Impact,I don't know based on the current graph result.,0.0,0.0,0.0,0.0,0.0,0.0,0.8334968686103821,0.0,0.0,1.0,3.7555343471467495
4,simple,HRAG,What tactic is recorded for technique T1486?,Impact, Initial Access (based on DOC_CONTEXT),0.0,0.0,0.0,0.0,0.0,0.0,0.8175497055053711,0.0,0.0,1.0,11.21204920951277
5,simple,RAG,What family is assigned to malware BlackCat?,Ransomware,"The malware BlackCat, also known as AlphaVM, AlphaV, or ALPHV, is assigned to the ransomware family.",1.0,0.0,0.11764705882352941,0.0,0.11764705882352941,0.11764705882352941,0.8255004286766052,0.0625,0.0,1.0,0.9817318441346288
5,simple,GRAG,What family is assigned to malware BlackCat?,Ransomware,The malware BlackCat is assigned to the Ransomware family.,1.0,0.0,0.19999999999999998,4.196114906296549,0.19999999999999998,0.19999999999999998,0.874446451663971,0.1111111111111111,0.0,1.0,2.211965100839734
5,simple,AGRAG,What family is assigned to malware BlackCat?,Ransomware,Ransomware,1.0,1.0,1.0,0.0,1.0,1.0,1.0000001192092896,1.0,0.0,1.0,2.4038390768691897
5,simple,HRAG,What family is assigned to malware BlackCat?,Ransomware, Malware BlackCat is assigned to the ransomware family.,1.0,0.0,0.2222222222222222,0.0,0.2222222222222222,0.2222222222222222,0.8547883033752441,0.125,0.0,1.0,5.228630897589028
6,simple,RAG,What is the technique name for ID DNS_HIJACKING?,DNS hijacking,The technique name is DNS hijacking.,1.0,0.0,0.25,13.134549472120788,0.5,0.5,0.8881458044052124,0.16666666666666666,0.0,1.0,0.5543880322948098
6,simple,GRAG,What is the technique name for ID DNS_HIJACKING?,DNS hijacking,The technique name for ID DNS\_HIJACKING is DNS hijacking.,1.0,0.0,0.1818181818181818,6.178110636313396,0.33333333333333337,0.33333333333333337,0.8548727631568909,0.1111111111111111,0.0,1.0,2.655367129482329
6,simple,AGRAG,What is the technique name for ID DNS_HIJACKING?,DNS hijacking,DNS hijacking,1.0,1.0,1.0,0.0,1.0,1.0,1.0000001192092896,1.0,0.0,1.0,2.5950213130563498
6,simple,HRAG,What is the technique name for ID DNS_HIJACKING?,DNS hijacking, DNS hijacking,1.0,1.0,1.0,0.0,1.0,1.0,1.0000001192092896,1.0,0.0,1.0,7.733509468846023
7,simple,RAG,What publisher is set for source cisco-talos-2019-04-sea-turtle?,Cisco Talos,The context does not provide information about the publisher for the source cisco-talos-2019-04-sea-turtle.,0.0,0.0,0.0,0.0,0.19999999999999998,0.19999999999999998,0.8158167004585266,0.0,0.0,1.0,1.099354237318039
7,simple,GRAG,What publisher is set for source cisco-talos-2019-04-sea-turtle?,Cisco Talos,"The publisher set for the source ""cisco-talos-2019-04-sea-turtle"" is Cisco Talos.",1.0,0.0,0.16666666666666669,4.5739135561238005,0.23529411764705882,0.23529411764705882,0.8250213861465454,0.1,0.0,1.0,3.797161721624434
7,simple,AGRAG,What publisher is set for source cisco-talos-2019-04-sea-turtle?,Cisco Talos,Cisco Talos,1.0,1.0,1.0,0.0,1.0,1.0,1.0000001192092896,1.0,0.0,1.0,2.6623179959133267
7,simple,HRAG,What publisher is set for source cisco-talos-2019-04-sea-turtle?,Cisco Talos, Cisco Talos,1.0,1.0,1.0,0.0,1.0,1.0,1.0000001192092896,1.0,0.0,1.0,5.84032073803246
8,simple,RAG,What published_on date is set for source cisco-talos-2019-04-sea-turtle?,2019-04-01,I don't know the published_on date for source cisco-talos-2019-04-sea-turtle as it is not provided in the context.,0.0,0.0,0.0,5.8564582332753705,0.14814814814814814,0.14814814814814814,0.8000587821006775,0.0,0.0,1.0,1.3173450138419867
8,simple,GRAG,What published_on date is set for source cisco-talos-2019-04-sea-turtle?,2019-04-01,"The published\_on date set for the source ""cisco-talos-2019-04-sea-turtle"" is April 1, 2019.",0.0,0.0,0.0,6.586656967644003,0.1904761904761905,0.1904761904761905,0.7893486618995667,0.0,0.0,1.0,3.602596520446241
8,simple,AGRAG,What published_on date is set for source cisco-talos-2019-04-sea-turtle?,2019-04-01,2019-04-01,1.0,1.0,1.0,100.00000000000004,1.0,1.0,1.0,1.0,0.0,1.0,3.442706606350839
8,simple,HRAG,What published_on date is set for source cisco-talos-2019-04-sea-turtle?,2019-04-01, I don't know. The graph query for getting the `published_on` date for the source `cisco-talos-2019-04-sea-turtle` failed. The unstructured evidence does not provide a clear `published_on` date.,0.0,0.0,0.0,3.172414419318193,0.10810810810810811,0.10810810810810811,0.7871577739715576,0.0,0.0,1.0,11.424720171838999
9,simple,RAG,What motivation value is set for Pensive Ursa?,espionage,"Based on the provided context, the motivation value for Pensive Ursa is intelligence gathering.",0.0,0.0,0.0,0.0,0.0,0.0,0.8081849813461304,0.0,0.0,1.0,1.044885665178299
9,simple,GRAG,What motivation value is set for Pensive Ursa?,espionage,"I'm unable to provide an answer to your question since the motivation value for ""Pensive Ursa"" is not specified in the database, and the question seems to be unrelated to CTI (Computer-Telephony Integration). I apologize for any inconvenience.",0.0,0.0,0.0,0.0,0.0,0.0,0.7913166880607605,0.0,0.0,1.0,1.7542464202269912
9,simple,AGRAG,What motivation value is set for Pensive Ursa?,espionage,espionage,1.0,1.0,1.0,0.0,1.0,1.0,0.9999996423721313,1.0,0.0,1.0,3.5135633554309607
9,simple,HRAG,What motivation value is set for Pensive Ursa?,espionage, The motivation value set for Pensive Ursa is 'espionage'.,1.0,0.0,0.0,0.0,0.19999999999999998,0.19999999999999998,0.8184247016906738,0.0,0.0,1.0,3.9447373570874333
10,simple,RAG,What sponsor value is set for Pensive Ursa?,Russia,The context does not provide information about the sponsor value for Pensive Ursa.,0.0,0.0,0.0,0.0,0.0,0.0,0.8044226169586182,0.0,0.0,1.0,0.9500453164801002
10,simple,GRAG,What sponsor value is set for Pensive Ursa?,Russia,"I'm sorry for any confusion, but based on the information provided, I don't have enough context to answer your question. The question you've asked seems to be related to a sponsor value for something called ""Pensive Ursa,"" but I don't have any data or knowledge about what ""Pensive Ursa"" refers to, or what the ""sponsor value"" might be in this context. I'm here to help, so please feel free to ask me another question with more information, and I'll do my best to assist you.",0.0,0.0,0.0,0.0,0.0,0.0,0.7806859612464905,0.0,0.0,1.0,2.85005771368742
10,simple,AGRAG,What sponsor value is set for Pensive Ursa?,Russia,Russia,1.0,1.0,1.0,0.0,1.0,1.0,0.9999998807907104,1.0,0.0,1.0,3.6756182303652167
10,simple,HRAG,What sponsor value is set for Pensive Ursa?,Russia, 'Russian Federal Security Service (FSB)',1.0,0.0,0.0,0.0,0.0,0.0,0.8144975304603577,0.0,0.0,1.0,10.205273266881704
11,simple,RAG,What sector property is set for victim Ukrainian defense sector?,Government,"The sector property is set to the ""Ukrainian defense sector"".",0.0,0.0,0.0,0.0,0.0,0.0,0.8225072622299194,0.0,0.0,1.0,0.786071540787816
11,simple,GRAG,What sector property is set for victim Ukrainian defense sector?,Government,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,21.100808491930366
11,simple,AGRAG,What sector property is set for victim Ukrainian defense sector?,Government,Government,1.0,1.0,1.0,0.0,1.0,1.0,1.0000001192092896,1.0,0.0,1.0,3.161841752938926
11,simple,HRAG,What sector property is set for victim Ukrainian defense sector?,Government," The sector property for the victim, Ukrainian defense sector, is the ""Government"" sector. This is mentioned in the DOC_CONTEXT in several instances where the incident ""ua-defense-kazuar-2023-07"" targets the ""Sector Government"" and is supported by the source ""ua_cert_jul2023_kazuar"".",1.0,0.0,0.0,0.6149917424924614,0.04347826086956522,0.04347826086956522,0.7844754457473755,0.0,0.0,1.0,5.665698823519051
12,simple,RAG,What country_iso2 is stored on victim Ukrainian defense sector?,UA,I don't know the country_iso2 stored on the victim Ukrainian defense sector as it's not specified in the provided context.,0.0,0.0,0.0,0.0,0.0,0.0,0.8093029260635376,0.0,0.0,1.0,0.9534564567729831
12,simple,GRAG,What country_iso2 is stored on victim Ukrainian defense sector?,UA,"The `country_iso2` code ""UA"" is stored for the victim in the Ukrainian defense sector. The `country_iso2` code is a standard two-letter code used to represent countries, with ""UA"" being the code for Ukraine.",1.0,0.0,0.0,0.7605497822189857,0.05405405405405406,0.05405405405405406,0.7878873944282532,0.0,0.0,1.0,3.5428986651822925
12,simple,AGRAG,What country_iso2 is stored on victim Ukrainian defense sector?,UA,UA,1.0,1.0,1.0,0.0,1.0,1.0,1.0000001192092896,1.0,0.0,1.0,3.071534608490765
12,simple,HRAG,What country_iso2 is stored on victim Ukrainian defense sector?,UA," UA (from GRAPH_ROWS, structured evidence is preferred for this type of query)",1.0,0.0,0.15384615384615385,2.2869567780619007,0.14285714285714288,0.14285714285714288,0.8431379795074463,0.08333333333333333,0.0,1.0,3.9733033841475844
13,simple,RAG,What technique tactic is recorded for T1203?,Execution,The context does not provide information on the technique or tactic for T1203. It only provides information about the Sea Turtle threat group and a Linux/Unix web shell used for establishing persistence.,0.0,0.0,0.0,0.0,0.0,0.0,0.7975313067436218,0.0,0.0,1.0,1.3553404500707984
13,simple,GRAG,What technique tactic is recorded for T1203?,Execution,The technique tactic recorded for T1203 is Execution.,1.0,0.0,0.0,4.767707020457095,0.2222222222222222,0.2222222222222222,0.8218459486961365,0.0,0.0,1.0,2.352547300979495
13,simple,AGRAG,What technique tactic is recorded for T1203?,Execution,Execution,1.0,1.0,1.0,0.0,1.0,1.0,0.9999997615814209,1.0,0.0,1.0,3.034997926093638
13,simple,HRAG,What technique tactic is recorded for T1203?,Execution, The technique tactic for T1203 is 'Exploitation for Client Execution'.,1.0,0.0,0.0,0.0,0.18181818181818182,0.18181818181818182,0.8074632287025452,0.0,0.0,1.0,6.025250572711229
14,simple,RAG,What date is set for incident fancy-bear-follina-jul-2022?,2022-07-01,"I don't know. The provided context does not include information about any incident named ""fancy-bear-follina-jul-2022"" or its date.",0.0,0.0,0.0,0.0,0.07692307692307691,0.07692307692307691,0.7628775835037231,0.0,0.0,1.0,1.269215284846723
14,simple,GRAG,What date is set for incident fancy-bear-follina-jul-2022?,2022-07-01,"The incident named ""fancy-bear-follina-jul-2022"" is set to occur on July 1, 2022.",0.0,0.0,0.0,2.445593937240363,0.10526315789473684,0.10526315789473684,0.7822083234786987,0.0,0.0,1.0,8.484532662667334
14,simple,AGRAG,What date is set for incident fancy-bear-follina-jul-2022?,2022-07-01,2022-07-01,1.0,1.0,1.0,100.00000000000004,1.0,1.0,1.0,1.0,0.0,1.0,3.4052572259679437
14,simple,HRAG,What date is set for incident fancy-bear-follina-jul-2022?,2022-07-01," July 1, 2022 (based on DOC_CONTEXT)",0.0,0.0,0.0,3.7477767366779213,0.2,0.2,0.7784557938575745,0.0,0.0,1.0,6.8283689031377435
15,simple,RAG,What ISO2 code is stored for the country named Ukraine?,UA,I don't know the ISO2 code for Ukraine from the provided context.,0.0,0.0,0.0,0.0,0.0,0.0,0.8285953998565674,0.0,0.0,1.0,1.0450976276770234
15,simple,GRAG,What ISO2 code is stored for the country named Ukraine?,UA,"The ISO 2 code for Ukraine is ""UA"". However, it seems that the question you asked before this one was not related to CTI, so I wasn't able to answer it. Nevertheless, I'm here to help, so please don't hesitate to ask me anything else!",1.0,0.0,0.0,0.6735878102046051,0.04081632653061225,0.04081632653061225,0.8002108931541443,0.0,0.0,1.0,1.7547810273244977
15,simple,AGRAG,What ISO2 code is stored for the country named Ukraine?,UA,UA,1.0,1.0,1.0,0.0,1.0,1.0,1.0000001192092896,1.0,0.0,1.0,2.8721638107672334
15,simple,HRAG,What ISO2 code is stored for the country named Ukraine?,UA, The ISO2 code stored for the country named Ukraine is 'UA'.,1.0,0.0,0.0,0.0,0.16666666666666669,0.16666666666666669,0.8152968883514404,0.0,0.0,1.0,2.536696270108223
