q_id,category,system,question,gold_answer,prediction,Exact,Strict-Exact,F1,BLEU,ROUGE1,ROUGEL,BERT-F1,Halluc-Prec,Unknown,Answered,time_sec
1,simple,RAG,What publisher is listed for source mcafee_mobile_research_xamalicious?,McAfee Mobile Research Team,The publisher listed for source mcafee_mobile_research_xamalicious is the McAfee Mobile Research Team.,1.0,0.0,0.375,12.673718536830808,0.4210526315789474,0.4210526315789474,0.8704960346221924,0.25,0.0,1.0,1.519110661931336
1,simple,GRAG,What publisher is listed for source mcafee_mobile_research_xamalicious?,McAfee Mobile Research Team,The publisher listed for the source mcafee_mobile_research_xamalicious is McAfee Mobile Research Team.,1.0,0.0,0.375,12.673718536830808,0.4210526315789474,0.4210526315789474,0.868369996547699,0.25,0.0,1.0,4.68419437110424
1,simple,AGRAG,What publisher is listed for source mcafee_mobile_research_xamalicious?,McAfee Mobile Research Team,McAfee Mobile Research Team,1.0,1.0,1.0,100.00000000000004,1.0,1.0,1.0000001192092896,1.0,0.0,1.0,3.697081475518644
1,simple,HRAG,What publisher is listed for source mcafee_mobile_research_xamalicious?,McAfee Mobile Research Team,McAfee Mobile Research Team,1.0,1.0,1.0,100.00000000000004,1.0,1.0,1.0000001192092896,1.0,0.0,1.0,2.9424279564991593
2,simple,RAG,What type is incident inc_xamalicious_android_backdoor_discovery?,malware,The incident inc_xamalicious_android_backdoor_discovery is a discovery of a new Android backdoor malware called Xamalicious.,1.0,0.0,0.13333333333333333,1.6466642419110007,0.10526315789473684,0.10526315789473684,0.7950032353401184,0.07142857142857142,0.0,1.0,1.2306894278153777
2,simple,GRAG,What type is incident inc_xamalicious_android_backdoor_discovery?,malware,The incident type for inc_xamalicious_android_backdoor_discovery is not available.,0.0,0.0,0.0,0.0,0.0,0.0,0.7900806069374084,0.0,0.0,1.0,4.236823418177664
2,simple,AGRAG,What type is incident inc_xamalicious_android_backdoor_discovery?,malware,malware,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,2.9185618348419666
2,simple,HRAG,What type is incident inc_xamalicious_android_backdoor_discovery?,malware,malware,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,2.818336058408022
3,simple,RAG,What technique tactic is recorded for technique T1407?,Execution,The provided context does not contain information about technique T1407 or its recorded technique tactic.,0.0,0.0,0.0,0.0,0.0,0.0,0.801491379737854,0.0,0.0,1.0,0.9881603522226214
3,simple,GRAG,What technique tactic is recorded for technique T1407?,Execution,The tactic recorded for technique T1407 is Execution.,1.0,0.0,0.0,4.767707020457095,0.2222222222222222,0.2222222222222222,0.815267026424408,0.0,0.0,1.0,4.16739119309932
3,simple,AGRAG,What technique tactic is recorded for technique T1407?,Execution,Execution,1.0,1.0,1.0,0.0,1.0,1.0,0.9999997615814209,1.0,0.0,1.0,2.525176434777677
3,simple,HRAG,What technique tactic is recorded for technique T1407?,Execution,Execution,1.0,1.0,1.0,0.0,1.0,1.0,0.9999997615814209,1.0,0.0,1.0,2.6132504548877478
